96,1,0,6.06
59,5,4000,6.02
1027,2,0,6.03
132,13,4000,6.02
324,0,0,6.07
32,3,4000,6.00
32,0,0,6.06
2098,210,4000,6.02
32,0,0,6.06
32,3,4000,6.07
241,0,0,6.02
345,33,4000,6.08
444,0,0,6.02
102,10,4000,6.03
963,0,0,6.06
3576,355,4000,6.01
587,0,0,6.02
425,43,4000,6.04
32,0,0,6.09
387,39,4000,6.08
32,0,0,6.01
32,3,4000,6.08
