forward,8,4,40000,140,0,0,6.53
forward,8,4,40000,121,10,4000,6.51
align,8,4,40000,1020,0,0,6.53
align,8,4,40000,988,90,4000,6.55
alternate,8,4,40000,4,0,0,6.60
alternate,8,4,40000,4,0,4000,6.55
forward,8,8,40000,128,0,0,6.54
forward,8,8,40000,141,16,4000,6.51
align,8,8,40000,1383,0,0,6.52
align,8,8,40000,1065,104,4000,6.55
alternate,8,8,40000,8,0,0,6.53
alternate,8,8,40000,100,8,4000,6.51
forward,8,16,40000,144,0,0,6.51
forward,8,16,40000,142,16,4000,6.51
align,8,16,40000,3781,0,0,6.57
align,8,16,40000,2413,235,4000,6.53
alternate,8,16,40000,46,0,0,6.51
alternate,8,16,40000,16,1,4000,6.52
forward,8,32,40000,144,1,0,6.50
forward,8,32,40000,141,17,4000,6.56
align,8,32,40000,5161,0,0,6.52
align,8,32,40000,5103,501,4000,6.52
alternate,8,32,40000,222,0,0,6.58
alternate,8,32,40000,66,7,4000,6.52
forward,8,64,40000,141,0,0,6.54
forward,8,64,40000,141,17,4000,6.53
align,8,64,40000,9218,0,0,6.52
align,8,64,40000,10063,999,4000,6.54
alternate,8,64,40000,358,1,0,6.56
alternate,8,64,40000,64,6,4000,6.58
forward,8,128,40000,198,0,0,6.52
forward,8,128,40000,194,21,4000,6.51
align,8,128,40000,19646,0,0,6.53
align,8,128,40000,19458,1940,4000,6.55
alternate,8,128,40000,2022,0,0,6.55
alternate,8,128,40000,565,55,4000,6.58
forward,8,256,40000,117,0,0,6.53
forward,8,256,40000,150,18,4000,6.53
align,8,256,40000,37322,0,0,6.55
align,8,256,40000,36795,3676,4000,6.56
alternate,8,256,40000,32124,0,0,6.54
alternate,8,256,40000,32372,3239,4000,6.53
forward,8,512,40000,52,0,0,6.63
forward,8,512,40000,146,17,4000,6.56
align,8,512,40000,37143,0,0,6.53
align,8,512,40000,40000,4000,4000,6.55
alternate,8,512,40000,40000,0,0,6.53
alternate,8,512,40000,39481,3948,4000,6.55
forward,8,1024,40000,141,0,0,6.56
forward,8,1024,40000,144,17,4000,6.51
align,8,1024,40000,40000,0,0,6.55
align,8,1024,40000,40000,4000,4000,6.56
