type,shm_bufsize,arbiter_bufsize,primes_num,checked,errnum,errgen,time
align,8,512,40000,40000,4000,4000,6.02
align,8,512,40000,39750,0,0,6.03
align,8,512,40000,40000,4000,4000,6.02
align,8,64,40000,10253,0,0,6.02
align,8,64,40000,10337,1025,4000,6.09
align,8,64,40000,10119,0,0,6.01
align,8,64,40000,11784,1170,4000,6.01
align,8,64,40000,10095,0,0,6.05
align,8,64,40000,11158,1116,4000,6.02
align,8,64,40000,10025,0,0,6.01
align,8,64,40000,10524,1051,4000,6.01
align,8,64,40000,10975,0,0,6.05
align,8,64,40000,10358,1024,4000,6.02
align,8,64,40000,12567,0,0,6.06
align,8,64,40000,10268,1027,4000,6.02
align,8,64,40000,9947,0,0,6.01
align,8,64,40000,10124,1009,4000,6.01
align,8,64,40000,11130,0,0,6.02
align,8,64,40000,10379,1033,4000,6.02
align,8,64,40000,10801,0,0,6.01
align,8,64,40000,16282,1624,4000,6.04
align,8,64,40000,11119,0,0,6.01
align,8,64,40000,10198,1014,4000,6.01
align,8,64,40000,10182,0,0,6.01
align,8,64,40000,22134,2209,4000,6.02
align,8,8,40000,1287,0,0,6.01
align,8,8,40000,1299,125,4000,6.02
align,8,8,40000,1616,0,0,6.01
align,8,8,40000,1272,121,4000,6.04
align,8,8,40000,1387,0,0,6.02
align,8,8,40000,1188,106,4000,6.03
align,8,8,40000,2076,0,0,6.01
align,8,8,40000,1441,137,4000,6.02
align,8,8,40000,1003,0,0,6.14
align,8,8,40000,1268,117,4000,6.01
align,8,8,40000,2012,0,0,6.07
align,8,8,40000,1472,138,4000,6.03
align,8,8,40000,1025,0,0,6.16
align,8,8,40000,2615,257,4000,6.05
align,8,8,40000,1286,0,0,6.02
align,8,8,40000,1520,149,4000,6.01
align,8,8,40000,2151,0,0,6.02
align,8,8,40000,1103,102,4000,6.14
align,8,8,40000,1110,0,0,6.13
align,8,8,40000,1505,145,4000,6.06
align,8,8,40000,1188,0,0,6.04
align,8,8,40000,1445,138,4000,6.11
alternate,8,1024,40000,40000,0,0,6.08
alternate,8,1024,40000,40000,4000,4000,6.03
alternate,8,1024,40000,40000,0,0,6.05
alternate,8,1024,40000,40000,4000,4000,6.01
alternate,8,1024,40000,40000,0,0,6.01
alternate,8,1024,40000,40000,4000,4000,6.12
alternate,8,1024,40000,40000,0,0,6.02
alternate,8,1024,40000,40000,4000,4000,6.09
alternate,8,1024,40000,40000,0,0,6.08
alternate,8,1024,40000,40000,4000,4000,6.01
alternate,8,1024,40000,40000,0,0,6.02
alternate,8,1024,40000,40000,4000,4000,6.01
alternate,8,1024,40000,40000,0,0,6.11
alternate,8,1024,40000,40000,4000,4000,6.03
alternate,8,1024,40000,40000,0,0,6.04
alternate,8,1024,40000,40000,4000,4000,6.02
alternate,8,1024,40000,40000,0,0,6.04
alternate,8,1024,40000,40000,4000,4000,6.01
alternate,8,1024,40000,40000,0,0,6.10
alternate,8,1024,40000,40000,4000,4000,6.01
alternate,8,1024,40000,40000,0,0,6.05
alternate,8,1024,40000,40000,4000,4000,6.13
alternate,8,128,40000,20591,0,0,6.01
alternate,8,128,40000,301,29,4000,6.10
alternate,8,128,40000,4487,0,0,6.01
alternate,8,128,40000,6692,670,4000,6.07
alternate,8,128,40000,2962,0,0,6.08
alternate,8,128,40000,4287,430,4000,6.08
alternate,8,128,40000,1811,0,0,6.11
alternate,8,128,40000,1511,150,4000,6.02
alternate,8,128,40000,128,0,0,6.02
alternate,8,128,40000,128,12,4000,6.01
alternate,8,128,40000,128,0,0,6.10
alternate,8,128,40000,190,18,4000,6.17
alternate,8,128,40000,723,0,0,6.13
alternate,8,128,40000,128,12,4000,6.01
alternate,8,128,40000,9819,0,0,6.06
alternate,8,128,40000,575,56,4000,6.06
alternate,8,128,40000,486,0,0,6.03
alternate,8,128,40000,32249,3226,4000,6.01
alternate,8,128,40000,193,0,0,6.11
alternate,8,128,40000,2300,228,4000,6.02
