c-native,1.583691
c-drio,1.430398
c-c-empty,1.48655,8838841
c-c-empty,1.459957,7807898
c-c-dm,1.461245,7260253
c-c-dm,1.45998,7330511
c-c-dm-stats,0,18090,1910,0,18090,1910,0
c-c-dm-errs-good,1.459863,7013529
c-c-dm-errs-bad,1.459963,7520748
c-c-dm-errs-stats,0,16438,3562,0,16438,3562,357
c-native,1.582319
c-drio,1.417068
c-c-empty,1.459103,7329206
c-c-empty,1.460251,7738418
c-c-dm,1.458923,6911908
c-c-dm,1.45932,7633836
c-c-dm-stats,0,18169,1831,0,18169,1831,0
c-c-dm-errs-good,1.459241,7471387
c-c-dm-errs-bad,1.459628,7447872
c-c-dm-errs-stats,0,18105,1895,0,18105,1895,190
c-native,1.582169
c-drio,1.407648
c-c-empty,1.459225,7097771
c-c-empty,1.460255,7197857
c-c-dm,1.460943,6947138
c-c-dm,1.461654,7996039
c-c-dm-stats,0,18683,1317,0,18683,1317,0
c-c-dm-errs-good,1.460775,7489040
c-c-dm-errs-bad,1.506731,9769975
c-c-dm-errs-stats,0,19351,649,0,19351,649,65
c-native,1.590059
c-drio,1.450655
c-c-empty,1.504934,8440593
c-c-empty,1.506973,7886848
c-c-dm,1.459863,7627311
c-c-dm,1.459845,7296129
c-c-dm-stats,0,18413,1587,0,18413,1587,0
c-c-dm-errs-good,1.459256,7488410
c-c-dm-errs-bad,1.461025,8003567
c-c-dm-errs-stats,0,18692,1308,0,18692,1308,133
c-native,1.582534
c-drio,1.408111
c-c-empty,1.460774,7491028
c-c-empty,1.460815,7499643
c-c-dm,1.459703,7385313
c-c-dm,1.462933,7240462
c-c-dm-stats,0,19103,897,0,19103,897,0
c-c-dm-errs-good,1.460143,7627100
c-c-dm-errs-bad,1.462005,7814669
c-c-dm-errs-stats,0,18022,1978,0,18022,1978,199
c-native,1.585668
c-drio,1.453302
c-c-empty,1.460963,7281297
c-c-empty,1.461171,7703666
c-c-dm,1.498469,8914424
c-c-dm,1.459576,7579300
c-c-dm-stats,0,18557,1443,0,18557,1443,0
c-c-dm-errs-good,1.487737,8862949
c-c-dm-errs-bad,1.459375,7101858
c-c-dm-errs-stats,0,18673,1327,0,18673,1327,136
c-native,1.583251
c-drio,1.406766
c-c-empty,1.459123,7135585
c-c-empty,1.460513,7378837
c-c-dm,1.459722,7247418
c-c-dm,1.458666,7274944
c-c-dm-stats,0,18895,1105,0,18895,1105,0
c-c-dm-errs-good,1.460022,7212753
c-c-dm-errs-bad,1.463245,8085665
c-c-dm-errs-stats,0,18248,1752,0,18248,1752,174
c-native,1.584488
c-drio,1.40674
c-c-empty,1.458814,7136728
c-c-empty,1.461345,7503634
c-c-dm,1.46014,7443755
c-c-dm,1.459918,7600437
c-c-dm-stats,0,14645,5355,0,14645,5355,0
c-c-dm-errs-good,1.471949,7389155
c-c-dm-errs-bad,1.50453,6792508
c-c-dm-errs-stats,0,19001,999,0,19001,999,101
c-native,1.591096
c-drio,1.451903
c-c-empty,1.50941,8659790
c-c-empty,1.460479,7271880
c-c-dm,1.459271,6729281
c-c-dm,1.473893,7813479
c-c-dm-stats,0,18974,1026,0,18974,1026,0
c-c-dm-errs-good,1.460889,7336030
c-c-dm-errs-bad,1.460888,6978648
c-c-dm-errs-stats,0,16412,3588,0,16412,3588,365
c-native,1.583461
c-drio,1.407572
c-c-empty,1.462694,8181031
c-c-empty,1.484305,8415221
c-c-dm,1.458887,6843572
c-c-dm,1.461349,7704241
c-c-dm-stats,0,19057,943,0,19057,943,0
c-c-dm-errs-good,1.462288,7883479
c-c-dm-errs-bad,1.45987,6949289
c-c-dm-errs-stats,0,19240,760,0,19240,760,76
c-py-empty-c,1.464423,7430646
c-py-empty-py,29.688440132,4609266
c-py-dm-c,1.469075,7828070
c-py-dm-py,29.849394412,4020600
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.460061,7831120
c-py-empty-py,30.116609516,3474059
c-py-dm-c,1.493354,8562938
c-py-dm-py,28.818688301,5289688
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.460105,7597014
c-py-empty-py,30.389376795,4452453
c-py-dm-c,1.461985,7734583
c-py-dm-py,30.23986275,3282935
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.470094,7091128
c-py-empty-py,29.821388179,3159478
c-py-dm-c,1.462284,7677553
c-py-dm-py,28.210697046,3497744
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.463181,7765047
c-py-empty-py,29.462389604,3828771
c-py-dm-c,1.460161,7417403
c-py-dm-py,30.837416158,4174709
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.460287,7301090
