c-native,0.397799
c-drio,0.362707
c-c-empty,0.384452,0
c-c-empty,0.373636,0
c-c-dm,0.373738,0
c-c-dm,0.373924,0
c-c-dm-stats,0,7839,2161,0,7839,2161,0
c-c-dm-errs-good,0.373564,0
c-c-dm-errs-bad,0.374001,0
c-c-dm-errs-stats,0,9616,384,0,9616,384,38
c-native,0.397509
c-drio,0.368605
c-c-empty,0.374001,0
c-c-empty,0.373676,0
c-c-dm,0.373548,0
c-c-dm,0.373825,0
c-c-dm-stats,0,9248,752,0,9248,752,0
c-c-dm-errs-good,0.381063,0
c-c-dm-errs-bad,0.374344,0
c-c-dm-errs-stats,0,9680,320,0,9680,320,32
c-native,0.39728
c-drio,0.357279
c-c-empty,0.380061,0
c-c-empty,0.373699,0
c-c-dm,0.385035,0
c-c-dm,0.373574,0
c-c-dm-stats,0,8716,1284,0,8716,1284,0
c-c-dm-errs-good,0.373539,0
c-c-dm-errs-bad,0.385245,0
c-c-dm-errs-stats,0,9680,320,0,9680,320,32
c-native,0.399241
c-drio,0.36335
c-c-empty,0.384371,0
c-c-empty,0.384586,0
c-c-dm,0.385022,0
c-c-dm,0.385416,0
c-c-dm-stats,0,6643,3357,0,6643,3357,0
c-c-dm-errs-good,0.37362,0
c-c-dm-errs-bad,0.385378,0
c-c-dm-errs-stats,0,9580,420,0,9580,420,41
c-native,0.399209
c-drio,0.361881
c-c-empty,0.373684,0
c-c-empty,0.373698,0
c-c-dm,0.384928,0
c-c-dm,0.384596,0
c-c-dm-stats,0,9513,487,0,9513,487,0
c-c-dm-errs-good,0.384733,0
c-c-dm-errs-bad,0.374289,0
c-c-dm-errs-stats,0,9634,366,0,9634,366,37
c-native,0.399241
c-drio,0.357676
c-c-empty,0.373433,0
c-c-empty,0.373691,0
c-c-dm,0.373644,0
c-c-dm,0.384339,0
c-c-dm-stats,0,8506,1494,0,8506,1494,0
c-c-dm-errs-good,0.384193,0
c-c-dm-errs-bad,0.385221,0
c-c-dm-errs-stats,0,9620,380,0,9620,380,38
c-native,0.39939
c-drio,0.368157
c-c-empty,0.384164,0
c-c-empty,0.373657,0
c-c-dm,0.373451,0
c-c-dm,0.373991,0
c-c-dm-stats,0,9575,425,0,9575,425,0
c-c-dm-errs-good,0.379222,0
c-c-dm-errs-bad,0.374192,0
c-c-dm-errs-stats,0,9610,390,0,9610,390,39
c-native,0.397022
c-drio,0.357403
c-c-empty,0.373419,0
c-c-empty,0.384572,0
c-c-dm,0.373838,0
c-c-dm,0.384372,0
c-c-dm-stats,0,9509,491,0,9509,491,0
c-c-dm-errs-good,0.373404,0
c-c-dm-errs-bad,0.374108,0
c-c-dm-errs-stats,0,9261,739,0,9261,739,74
c-native,0.399132
c-drio,0.357402
c-c-empty,0.373649,0
c-c-empty,0.373418,0
c-c-dm,0.373377,0
c-c-dm,0.373702,0
c-c-dm-stats,0,9090,910,0,9090,910,0
c-c-dm-errs-good,0.384141,0
c-c-dm-errs-bad,0.385054,0
c-c-dm-errs-stats,0,9610,390,0,9610,390,39
c-native,0.399092
c-drio,0.360214
c-c-empty,0.383382,0
c-c-empty,0.383441,0
c-c-dm,0.373894,0
c-c-dm,0.38476,0
c-c-dm-stats,0,9170,830,0,9170,830,0
c-c-dm-errs-good,0.373631,0
c-c-dm-errs-bad,0.381924,0
c-c-dm-errs-stats,0,9650,350,0,9650,350,35
c-py-empty-c,0.384239,0
c-py-empty-py,7.660718386,0
c-py-dm-c,0.373486,0
c-py-dm-py,7.430283646,0
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.384844,0
c-py-empty-py,7.597958306,0
c-py-dm-c,0.38489,0
c-py-dm-py,7.3871692,0
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.373973,0
c-py-empty-py,7.533238541,0
c-py-dm-c,0.384886,0
c-py-dm-py,7.315531603,0
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.384558,0
c-py-empty-py,7.511439458,0
c-py-dm-c,0.384839,0
c-py-dm-py,7.667445169,0
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.384789,0
c-py-empty-py,7.530565266,0
c-py-dm-c,0.384838,0
c-py-dm-py,7.409098972,0
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.374387,0
c-py-empty-py,7.65307956,0
c-py-dm-c,0.385101,0
c-py-dm-py,7.519322906,0
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.373704,0
c-py-empty-py,7.539145127,0
c-py-dm-c,0.384907,0
c-py-dm-py,7.569355111,0
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.373702,0
c-py-empty-py,7.647536965,0
c-py-dm-c,0.384796,0
c-py-dm-py,7.474438519,0
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.380961,0
c-py-empty-py,7.840341799,0
c-py-dm-c,0.383993,0
c-py-dm-py,8.557830764,0
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.373453,0
c-py-empty-py,7.401739752,0
c-py-dm-c,0.373991,0
c-py-dm-py,7.2251092,0
c-py-dm-stats,0,9990,10,0,9990,10,0
py-native,3.828455791
py-drio,7.650980051
py-py-empty,7.560934304,0
py-py-empty,7.398670803,0
py-py-dm,7.853764042,0
py-py-dm,7.67827628,0
py-py-dm-stats,0,9840,160,0,9840,160,0
py-native,3.882485586
py-drio,7.527985738
py-py-empty,7.525051207,0
py-py-empty,7.237465273,0
py-py-dm,7.747230191,0
py-py-dm,7.687614352,0
py-py-dm-stats,0,9810,190,0,9810,190,0
py-native,3.831271186
py-drio,7.68787689
py-py-empty,7.589994081,0
py-py-empty,7.568591828,0
py-py-dm,7.472003665,0
py-py-dm,7.546646724,0
py-py-dm-stats,0,9820,180,0,9820,180,0
py-native,3.845907302
py-drio,7.495333626
py-py-empty,7.66897528,0
py-py-empty,7.572817525,0
py-py-dm,7.552174863,0
py-py-dm,7.579679696,0
py-py-dm-stats,0,9810,190,0,9810,190,0
py-native,3.844048646
py-drio,7.449950519
py-py-empty,7.432206912,0
py-py-empty,7.545477321,0
py-py-dm,7.558649484,0
py-py-dm,7.414388076,0
py-py-dm-stats,0,9840,160,0,9840,160,0
py-native,3.810036701
py-drio,7.51783552
py-py-empty,7.413258353,0
py-py-empty,7.416759831,0
py-py-dm,7.510593385,0
py-py-dm,7.674095233,0
py-py-dm-stats,0,9840,160,0,9840,160,0
py-native,3.818484881
py-drio,7.766585889
py-py-empty,7.43196155,0
py-py-empty,7.538759168,0
py-py-dm,7.626756424,0
py-py-dm,7.22003197,0
py-py-dm-stats,0,9840,160,0,9840,160,0
py-native,3.808081176
py-drio,7.415760759
py-py-empty,7.536565217,0
py-py-empty,7.626910564,0
py-py-dm,6.805146556,0
py-py-dm,7.598306153,0
py-py-dm-stats,0,9850,150,0,9850,150,0
py-native,3.825361543
py-drio,7.612573938
py-py-empty,7.728125425,0
py-py-empty,7.288923372,0
py-py-dm,7.341858087,0
py-py-dm,7.411729231,0
py-py-dm-stats,0,9820,180,0,9820,180,0
py-native,3.845989978
py-drio,7.682397318
py-py-empty,7.583080336,0
py-py-empty,7.477113285,0
py-py-dm,7.510946273,0
py-py-dm,7.718686418,0
py-py-dm-stats,0,9840,160,0,9840,160,0
