c-py-empty-c,3.229375,11187311
c-py-empty-py,68.136537654,5887946
c-py-dm-c,3.228987,10456780
c-py-dm-py,69.104921653,5374932
c-py-dm-stats,161,29821,18,0,29982,18,0
c-py-empty-c,3.230133,10929082
c-py-empty-py,67.866129942,5597878
c-py-dm-c,3.234627,11962993
c-py-dm-py,66.250402715,5747330
c-py-dm-stats,0,29980,20,0,29980,20,0
c-py-empty-c,3.275518,10608413
c-py-empty-py,69.371033813,6012328
c-py-dm-c,3.237511,11214539
c-py-dm-py,68.842574076,4731031
c-py-dm-stats,0,29980,20,0,29980,20,0
c-py-empty-c,3.228636,10482173
c-py-empty-py,67.839258841,6125864
c-py-dm-c,3.233745,11560719
c-py-dm-py,66.625319181,6109830
c-py-dm-stats,0,29980,20,6,29974,20,0
c-py-empty-c,3.231757,11226669
c-py-empty-py,67.655701942,5482162
c-py-dm-c,3.22859,10411544
c-py-dm-py,68.60517537,6226592
c-py-dm-stats,0,29980,20,0,29980,20,0
c-py-empty-c,3.232465,10944832
c-py-empty-py,64.094557642,6765331
c-py-dm-c,3.232561,10984826
c-py-dm-py,70.206046782,5254255
c-py-dm-stats,0,29980,20,0,29980,20,0
c-py-empty-c,3.23598,10840180
c-py-empty-py,67.356164553,5152674
c-py-dm-c,3.230107,10863402
c-py-dm-py,65.682876208,5423900
c-py-dm-stats,0,29980,20,1,29979,20,0
c-py-empty-c,3.234877,12023596
c-py-empty-py,68.11251574,5525112
c-py-dm-c,3.233896,11436192
c-py-dm-py,67.438034135,4684379
c-py-dm-stats,0,29982,18,5,29977,18,0
c-py-empty-c,3.241643,10757625
c-py-empty-py,66.604858948,6938875
c-py-dm-c,3.234352,12531679
c-py-dm-py,65.719278671,5712906
c-py-dm-stats,0,29980,20,0,29980,20,0
c-py-empty-c,3.232061,11718276
c-py-empty-py,66.557541,6099165
c-py-dm-c,3.240172,11403767
c-py-dm-py,67.280690928,5556229
c-py-dm-stats,0,29980,20,10,29970,20,0
py-native,34.279838886
py-drio,68.385968404
py-py-empty,66.053690474,5301084
py-py-empty,68.228939408,5678153
py-py-dm,69.168559188,6381178
py-py-dm,69.993835187,5613820
py-py-dm-stats,48,29346,606,0,29394,606,0
py-native,34.298083569
py-drio,69.67911465
py-py-empty,66.599512751,5935584
py-py-empty,63.688527027,6644896
py-py-dm,66.691733573,6228810
py-py-dm,67.389855785,6692952
py-py-dm-stats,0,29482,518,2,29480,518,0
py-native,34.595491372
py-drio,67.027088388
py-py-empty,68.141333724,5612910
py-py-empty,67.725487875,5856576
py-py-dm,67.17154056,5872192
py-py-dm,67.513510237,5248247
py-py-dm-stats,132,29341,527,6,29467,527,0
py-native,34.247744361
py-drio,68.688979839
py-py-empty,67.070345879,5614055
py-py-empty,67.051562067,6712353
py-py-dm,70.162219619,6184754
py-py-dm,67.288755424,6325194
py-py-dm-stats,50,29369,581,0,29419,581,0
py-native,34.27059422
py-drio,67.033355272
py-py-empty,66.213304425,6009563
py-py-empty,66.710449761,6448334
py-py-dm,66.894791395,6336144
py-py-dm,67.844016622,4920478
py-py-dm-stats,0,29481,519,3,29478,519,0
py-native,34.185259737
py-drio,64.161673403
py-py-empty,66.843089495,6298661
py-py-empty,68.533247871,7228068
py-py-dm,66.652553722,6417970
