c-native,0.399153
c-drio,0.368186
c-c-empty,0.384406,4061208
c-c-empty,0.383808,3812130
c-c-dm,0.383841,3993232
c-c-dm,0.394362,3926565
c-c-dm-stats,0,9540,460,0,9540,460,0
c-c-dm-errs-good,0.38596,4756224
c-c-dm-errs-bad,0.391211,4048947
c-c-dm-errs-stats,0,9278,722,0,9278,722,72
c-native,0.397756
c-drio,0.367903
c-c-empty,0.394745,4018496
c-c-empty,0.394697,3925126
c-c-dm,0.39107,4209096
c-c-dm,0.383464,3818090
c-c-dm-stats,0,6922,3078,0,6922,3078,0
c-c-dm-errs-good,0.384024,4095625
c-c-dm-errs-bad,0.395018,3851691
c-c-dm-errs-stats,0,8833,1167,0,8833,1167,117
c-native,0.397262
c-drio,0.368509
c-c-empty,0.387027,4136943
c-c-empty,0.395568,4318722
c-c-dm,0.396113,4279956
c-c-dm,0.384874,4380163
c-c-dm-stats,0,8910,1090,0,8910,1090,0
c-c-dm-errs-good,0.384135,4061236
c-c-dm-errs-bad,0.383993,3864486
c-c-dm-errs-stats,0,7537,2463,0,7537,2463,250
c-native,0.399452
c-drio,0.357342
c-c-empty,0.395262,4218203
c-c-empty,0.395212,4043994
c-c-dm,0.383033,3724075
c-c-dm,0.392675,3235344
c-c-dm-stats,0,9306,694,0,9306,694,0
c-c-dm-errs-good,0.383999,4085303
c-c-dm-errs-bad,0.384743,4251359
c-c-dm-errs-stats,0,8575,1425,0,8575,1425,141
c-native,0.399493
c-drio,0.367873
c-c-empty,0.383908,4030249
c-c-empty,0.394661,4241206
c-c-dm,0.383404,3862810
c-c-dm,0.395767,4470602
c-c-dm-stats,0,9227,773,0,9227,773,0
c-c-dm-errs-good,0.394956,4231765
c-c-dm-errs-bad,0.395327,3999073
c-c-dm-errs-stats,0,7653,2347,0,7653,2347,231
c-native,0.399216
c-drio,0.3681
c-c-empty,0.383753,3990563
c-c-empty,0.382885,3651112
c-c-dm,0.391517,3706446
c-c-dm,0.384109,4112432
c-c-dm-stats,0,9144,856,0,9144,856,0
c-c-dm-errs-good,0.383077,3735846
c-c-dm-errs-bad,0.383794,3777345
c-c-dm-errs-stats,0,9146,854,0,9146,854,85
c-native,0.397515
c-drio,0.357276
c-c-empty,0.384698,3953612
c-c-empty,0.383654,3865075
c-c-dm,0.384722,4276603
c-c-dm,0.383928,3975373
c-c-dm-stats,0,8964,1036,0,8964,1036,0
c-c-dm-errs-good,0.383269,3760825
c-c-dm-errs-bad,0.383229,3577458
c-c-dm-errs-stats,0,7260,2740,0,7260,2740,273
c-native,0.398274
c-drio,0.35753
c-c-empty,0.383492,3911209
c-c-empty,0.383634,3828618
c-c-dm,0.384096,4148987
c-c-dm,0.383249,3686403
c-c-dm-stats,0,9104,896,0,9104,896,0
c-c-dm-errs-good,0.383437,3868428
c-c-dm-errs-bad,0.383239,3652848
c-c-dm-errs-stats,0,8613,1387,0,8613,1387,139
c-native,0.399258
c-drio,0.357276
c-c-empty,0.383613,3997113
c-c-empty,0.383663,3914998
c-c-dm,0.383948,4035393
c-c-dm,0.384361,4081208
c-c-dm-stats,0,9150,850,0,9150,850,0
c-c-dm-errs-good,0.384804,4422597
c-c-dm-errs-bad,0.39587,4230420
c-c-dm-errs-stats,0,8800,1200,0,8800,1200,121
c-native,0.397203
c-drio,0.368195
c-c-empty,0.383653,3844714
c-c-empty,0.383752,3965348
c-c-dm,0.39343,3473040
c-c-dm,0.384432,4219222
c-c-dm-stats,0,9018,982,0,9018,982,0
c-c-dm-errs-good,0.384763,4309667
c-c-dm-errs-bad,0.38491,4154680
c-c-dm-errs-stats,0,9198,802,0,9198,802,82
c-py-empty-c,0.387708,4106842
c-py-empty-py,7.480542419,2117479
c-py-dm-c,0.384174,4076256
c-py-dm-py,7.805342472,2144473
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.395215,3956246
c-py-empty-py,7.690454161,2705297
c-py-dm-c,0.383896,3845490
c-py-dm-py,7.34580355,2279346
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.383873,3954797
c-py-empty-py,8.089465578,1549282
c-py-dm-c,0.395107,4000336
c-py-dm-py,7.413946066,2255467
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.384466,4258030
c-py-empty-py,7.545565874,2016956
c-py-dm-c,0.395324,4186717
c-py-dm-py,7.372577181,2251924
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.39479,4070069
c-py-empty-py,7.572252813,2150218
c-py-dm-c,0.383159,3583547
c-py-dm-py,7.135020945,1946814
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.39528,4197969
c-py-empty-py,7.516254557,1265621
c-py-dm-c,0.387604,3723245
c-py-dm-py,7.517707411,2374735
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.396081,4494425
c-py-empty-py,7.437118154,1507977
c-py-dm-c,0.395104,3952776
c-py-dm-py,7.068144127,2261355
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.383381,3860895
c-py-empty-py,7.496708689,2285702
c-py-dm-c,0.383166,3652664
c-py-dm-py,7.302594082,1963205
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.388211,4055589
c-py-empty-py,7.434230904,2222387
c-py-dm-c,0.394919,4032518
c-py-dm-py,7.541223763,1204280
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.38391,4071877
c-py-empty-py,7.536176389,2121192
c-py-dm-c,0.383148,3620003
c-py-dm-py,7.410236842,1486910
c-py-dm-stats,0,9990,10,0,9990,10,0
py-native,3.88320462
py-drio,7.64054119
py-py-empty,7.082975314,1887971
py-py-empty,7.580341238,1985858
py-py-dm,7.615731645,1528031
py-py-dm,7.576196487,2225561
py-py-dm-stats,0,9820,180,0,9820,180,0
py-native,3.80512341
py-drio,7.466905079
py-py-empty,7.057106707,1825917
py-py-empty,7.450194173,1539541
py-py-dm,7.58128852,2147230
py-py-dm,7.408851854,1778492
py-py-dm-stats,0,9800,200,0,9800,200,0
py-native,3.874592033
py-drio,7.782931082
py-py-empty,7.460188662,2071735
py-py-empty,7.552199276,2311796
py-py-dm,7.486800516,2573557
py-py-dm,7.033165571,1560111
py-py-dm-stats,0,9840,160,0,9840,160,0
py-native,3.831691852
py-drio,7.518535896
py-py-empty,7.629356736,1784431
py-py-empty,7.696788883,2595940
py-py-dm,7.546603847,2351509
py-py-dm,7.437637308,1452948
py-py-dm-stats,0,9840,160,0,9840,160,0
py-native,3.82146856
py-drio,7.620976467
py-py-empty,7.531336748,2027418
py-py-empty,7.567106351,2185679
py-py-dm,7.431436382,1488171
py-py-dm,7.563122702,1021122
py-py-dm-stats,0,9820,180,0,9820,180,0
py-native,3.815927153
py-drio,7.603898725
py-py-empty,7.643392232,2219809
py-py-empty,7.654562564,2099922
py-py-dm,7.662600858,1812172
py-py-dm,8.260144734,1769420
py-py-dm-stats,0,9780,220,0,9780,220,0
py-native,3.828915754
py-drio,7.457153342
py-py-empty,7.646580591,1814668
py-py-empty,7.572065264,2485865
py-py-dm,7.405561168,1855546
py-py-dm,7.295474403,2142171
py-py-dm-stats,0,9840,160,0,9840,160,0
py-native,3.858945524
py-drio,7.720622903
py-py-empty,7.681291879,1643008
py-py-empty,7.4926907,1544430
py-py-dm,7.559949468,2261910
py-py-dm,7.42877787,2462467
py-py-dm-stats,0,9840,160,0,9840,160,0
py-native,3.841725487
py-drio,6.994650586
py-py-empty,7.611816173,1623204
py-py-empty,7.654617915,1958058
py-py-dm,7.520084887,1635033
py-py-dm,7.50806233,1773054
py-py-dm-stats,0,9840,160,0,9840,160,0
py-native,3.813279559
py-drio,7.125711126
py-py-empty,7.4569508,1430169
py-py-empty,7.134508807,3336925
py-py-dm,7.4845329,2187680
py-py-dm,7.401084453,2456355
py-py-dm-stats,0,9780,220,0,9780,220,0
