c-native,1.582286
c-drio,1.422063
c-c-empty,1.460104,7616931
c-c-empty,1.473537,7421246
c-c-dm,1.459485,7664022
c-c-dm,1.502773,8017847
c-c-dm-stats,0,18762,1238,0,18762,1238,0
c-c-dm-errs-good,1.459797,7547562
c-c-dm-errs-bad,1.459537,7621392
c-c-dm-errs-stats,0,15174,4826,0,15174,4826,482
c-native,1.588407
c-drio,1.413734
c-c-empty,1.460916,7222833
c-c-empty,1.459103,7112029
c-c-dm,1.468402,7900794
c-c-dm,1.460373,7141185
c-c-dm-stats,0,18700,1300,0,18700,1300,0
c-c-dm-errs-good,1.460279,7497148
c-c-dm-errs-bad,1.461125,7348059
c-c-dm-errs-stats,0,18959,1041,36,18923,1041,105
c-native,1.583169
c-drio,1.407938
c-c-empty,1.461361,7340928
c-c-empty,1.45907,7256243
c-c-dm,1.46054,7500297
c-c-dm,1.459563,7575687
c-c-dm-stats,0,17630,2370,0,17630,2370,0
c-c-dm-errs-good,1.460785,7542219
c-c-dm-errs-bad,1.460815,7192575
c-c-dm-errs-stats,0,15116,4884,0,15116,4884,493
c-native,1.583485
c-drio,1.42615
c-c-empty,1.459779,7279705
c-c-empty,1.460816,7509561
c-c-dm,1.460176,7464456
c-c-dm,1.46087,7405618
c-c-dm-stats,0,18935,1065,0,18935,1065,0
c-c-dm-errs-good,1.458471,6900713
c-c-dm-errs-bad,1.460331,7319056
c-c-dm-errs-stats,0,18861,1139,14,18847,1139,114
c-native,1.586094
c-drio,1.416546
c-c-empty,1.493697,8653533
c-c-empty,1.460887,7542044
c-c-dm,1.459988,6998107
c-c-dm,1.458119,7545776
c-c-dm-stats,0,16970,3030,0,16970,3030,0
c-c-dm-errs-good,1.474616,7872317
c-c-dm-errs-bad,1.460062,7082070
c-c-dm-errs-stats,0,18604,1396,0,18604,1396,141
c-native,1.581895
c-drio,1.421757
c-c-empty,1.465741,7243081
c-c-empty,1.460249,7998732
c-c-dm,1.459277,7220485
c-c-dm,1.460311,7208412
c-c-dm-stats,0,17548,2452,0,17548,2452,0
c-c-dm-errs-good,1.459377,7675771
c-c-dm-errs-bad,1.460148,7014120
c-c-dm-errs-stats,0,18965,1035,0,18965,1035,102
c-native,1.582675
c-drio,1.419681
c-c-empty,1.459225,7316354
c-c-empty,1.493838,8456439
c-c-dm,1.462065,7960832
c-c-dm,1.460269,7573392
c-c-dm-stats,0,18828,1172,0,18828,1172,0
c-c-dm-errs-good,1.45917,7627956
c-c-dm-errs-bad,1.501048,8870268
c-c-dm-errs-stats,0,19340,660,0,19340,660,66
c-native,1.585683
c-drio,1.408465
c-c-empty,1.460549,7490809
c-c-empty,1.460228,7929456
c-c-dm,1.474458,7770286
c-c-dm,1.459833,7516276
c-c-dm-stats,0,19167,833,0,19167,833,0
c-c-dm-errs-good,1.462361,7822253
c-c-dm-errs-bad,1.46055,7416181
c-c-dm-errs-stats,0,17296,2704,0,17296,2704,273
c-native,1.582296
c-drio,1.408159
c-c-empty,1.459526,6836043
c-c-empty,1.459205,7245399
c-c-dm,1.461064,7781074
c-c-dm,1.460702,7291409
c-c-dm-stats,0,17048,2952,0,17048,2952,0
c-c-dm-errs-good,1.505115,7854519
c-c-dm-errs-bad,1.462349,7897686
c-c-dm-errs-stats,0,18955,1045,0,18955,1045,106
c-native,1.592499
c-drio,1.453242
c-c-empty,1.469398,7911775
c-c-empty,1.460346,7279165
c-c-dm,1.463166,7193837
c-c-dm,1.45902,7530109
c-c-dm-stats,0,18548,1452,0,18548,1452,0
c-c-dm-errs-good,1.460903,7091472
c-c-dm-errs-bad,1.45986,6892505
c-c-dm-errs-stats,0,17831,2169,0,17831,2169,218
c-py-empty-c,1.509188,8615284
c-py-empty-py,30.949344615,4023826
c-py-dm-c,1.48356,8832213
c-py-dm-py,29.793745986,3866733
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.458153,7159892
c-py-empty-py,30.134450942,5056686
c-py-dm-c,1.458546,6635320
c-py-dm-py,30.324115313,4491214
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.458144,7150553
c-py-empty-py,29.264649527,3134635
c-py-dm-c,1.45975,6833808
c-py-dm-py,31.06855117,3069796
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.460546,6900946
c-py-empty-py,27.935254902,4428359
c-py-dm-c,1.461931,7553590
c-py-dm-py,29.940118657,3670516
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.459171,6997575
c-py-empty-py,30.938585191,3944998
c-py-dm-c,1.460747,7068855
c-py-dm-py,29.76623902,5053119
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.49216,8677525
c-py-empty-py,31.912307665,4651279
c-py-dm-c,1.459303,7438962
c-py-dm-py,30.282320125,4882252
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.47767,8832922
c-py-empty-py,30.560245035,4364400
c-py-dm-c,1.458963,7315747
c-py-dm-py,30.486180601,4205241
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.493509,7266221
c-py-empty-py,30.694392842,2554727
c-py-dm-c,1.502917,7614381
c-py-dm-py,34.797586857,4748621
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.460363,7578123
c-py-empty-py,29.588776323,2985111
c-py-dm-c,1.501738,7060615
c-py-dm-py,28.75367913,4982802
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.461556,7856129
c-py-empty-py,30.104911135,4088500
c-py-dm-c,1.460855,7249222
c-py-dm-py,30.684621539,5054889
c-py-dm-stats,0,19980,20,0,19980,20,0
py-native,15.311811973
py-drio,30.786043495
py-py-empty,30.586624444,4367945
py-py-empty,30.096093463,4705599
py-py-dm,28.543863148,3887228
py-py-dm,29.843640328,4566369
py-py-dm-stats,0,19660,340,0,19660,340,0
py-native,15.351089779
py-drio,30.572326391
py-py-empty,29.957460126,4031776
py-py-empty,29.736222514,4391117
py-py-dm,29.925643901,4050397
py-py-dm,30.80011852,3947389
py-py-dm-stats,0,19632,368,0,19632,368,0
py-native,15.34883358
py-drio,29.813690072
py-py-empty,30.643222466,4948278
py-py-empty,30.35857302,4189009
py-py-dm,30.650979224,3885671
py-py-dm,30.040038416,3691516
py-py-dm-stats,0,19660,340,0,19660,340,0
py-native,15.327595834
py-drio,29.617308485
py-py-empty,29.981657547,3532584
py-py-empty,29.71274447,3929672
py-py-dm,29.03426042,4193704
py-py-dm,28.6419037,4656799
py-py-dm-stats,0,19660,340,0,19660,340,0
py-native,15.253432821
py-drio,30.611844422
py-py-empty,29.74757381,3662588
py-py-empty,31.319556336,4167308
py-py-dm,29.811893995,4928071
py-py-dm,29.879969478,4061969
py-py-dm-stats,0,19580,420,0,19580,420,0
py-native,15.322813612
py-drio,28.892396263
py-py-empty,30.213961701,4110126
py-py-empty,29.546971002,3310921
py-py-dm,29.925886281,4226300
py-py-dm,30.20737883,3660188
py-py-dm-stats,0,19660,340,0,19660,340,0
py-native,15.426262233
py-drio,30.637033216
py-py-empty,30.774236922,4627220
py-py-empty,29.730775632,2971331
py-py-dm,30.820474599,3668326
py-py-dm,30.530161124,2640462
py-py-dm-stats,0,19630,370,0,19630,370,0
py-native,15.317417079
py-drio,29.683030932
py-py-empty,30.158862286,3467761
py-py-empty,29.430303779,3377129
py-py-dm,30.704270938,4764117
py-py-dm,29.568303603,4523531
py-py-dm-stats,0,19640,360,0,19640,360,0
py-native,15.250018483
py-drio,29.906725916
py-py-empty,30.222350162,3411458
py-py-empty,28.146953241,4631864
py-py-dm,30.758953839,4316673
py-py-dm,30.77293968,3509485
py-py-dm-stats,0,19640,360,0,19640,360,0
py-native,15.426185101
py-drio,28.423497704
py-py-empty,28.746759352,3590667
py-py-empty,29.855416238,3604798
py-py-dm,30.793116432,4735404
py-py-dm,29.389444371,4437028
py-py-dm-stats,0,19660,340,0,19660,340,0
