c-native,1.592101
c-drio,1.410831
c-c-empty,1.461418,8457086
c-c-empty,1.508955,8902767
c-c-dm,1.458993,7396955
c-c-dm,1.4597,7764153
c-c-dm-stats,594,17977,1429,30,18541,1429,0
c-c-dm-errs-good,1.469629,8526869
c-c-dm-errs-bad,1.492186,8355624
c-c-dm-errs-stats,829,17564,1607,700,17693,1607,162
c-native,1.586984
c-drio,1.43187
c-c-empty,1.461466,7961656
c-c-empty,1.460362,7232858
c-c-dm,1.460804,7495939
c-c-dm,1.459032,6907885
c-c-dm-stats,230,18607,1163,235,18602,1163,0
c-c-dm-errs-good,1.483401,7992185
c-c-dm-errs-bad,1.460511,6940766
c-c-dm-errs-stats,815,18305,880,60,19060,880,89
c-native,1.592809
c-drio,1.41069
c-c-empty,1.463861,8163033
c-c-empty,1.459398,7360183
c-c-dm,1.459944,7499927
c-c-dm,1.460548,7639455
c-c-dm-stats,88,19021,891,1,19108,891,0
c-c-dm-errs-good,1.458679,7186839
c-c-dm-errs-bad,1.468139,7184890
c-c-dm-errs-stats,187,18839,974,973,18053,974,102
c-native,1.583308
c-drio,1.408012
c-c-empty,1.460702,7403743
c-c-empty,1.458474,7177907
c-c-dm,1.461262,7266985
c-c-dm,1.481591,8740953
c-c-dm-stats,244,18528,1228,2,18770,1228,0
c-c-dm-errs-good,1.461473,7407315
c-c-dm-errs-bad,1.460742,7713861
c-c-dm-errs-stats,881,17867,1252,272,18476,1252,124
c-native,1.588869
c-drio,1.406123
c-c-empty,1.468399,7720664
c-c-empty,1.459609,7708384
c-c-dm,1.461394,7496405
c-c-dm,1.45965,7140391
c-c-dm-stats,1232,15754,3014,797,16189,3014,0
c-c-dm-errs-good,1.460141,6896470
c-c-dm-errs-bad,1.461323,8186150
c-c-dm-errs-stats,62,18421,1517,922,17561,1517,149
c-native,1.586625
c-drio,1.4219
c-c-empty,1.459839,7720862
c-c-empty,1.479939,8937750
c-c-dm,1.46193,7475370
c-c-dm,1.458619,7316619
c-c-dm-stats,200,18595,1205,148,18647,1205,0
c-c-dm-errs-good,1.465826,7127181
c-c-dm-errs-bad,1.45853,7099889
c-c-dm-errs-stats,154,18961,885,175,18940,885,91
c-native,1.584229
c-drio,1.41376
c-c-empty,1.461715,7764054
c-c-empty,1.479844,7525415
c-c-dm,1.459447,7464595
c-c-dm,1.459774,7646841
c-c-dm-stats,1245,16136,2619,1,17380,2619,0
c-c-dm-errs-good,1.509087,8617606
c-c-dm-errs-bad,1.486045,9287972
c-c-dm-errs-stats,579,17865,1556,466,17978,1556,154
c-native,1.591058
c-drio,1.453465
c-c-empty,1.508259,8687378
c-c-empty,1.461071,7909554
c-c-dm,1.477521,7686545
c-c-dm,1.476291,8453918
c-c-dm-stats,332,17434,2234,848,16918,2234,0
c-c-dm-errs-good,1.459,7429837
c-c-dm-errs-bad,1.460423,7152894
c-c-dm-errs-stats,978,17246,1776,1082,17142,1776,181
c-native,1.583497
c-drio,1.407733
c-c-empty,1.490258,9450484
c-c-empty,1.486663,7196049
c-c-dm,1.508051,8197267
c-c-dm,1.474944,7976476
c-c-dm-stats,720,17436,1844,207,17949,1844,0
c-c-dm-errs-good,1.494201,8122500
c-c-dm-errs-bad,1.460273,7217971
c-c-dm-errs-stats,272,18770,958,241,18801,958,98
c-native,1.582944
c-drio,1.407598
c-c-empty,1.493658,8501828
c-c-empty,1.458186,7210206
c-c-dm,1.459208,7168495
c-c-dm,1.460413,7256992
c-c-dm-stats,69,18652,1279,356,18365,1279,0
c-c-dm-errs-good,1.460865,7851099
c-c-dm-errs-bad,1.507811,8873230
c-c-dm-errs-stats,323,18846,831,192,18977,831,84
c-py-empty-c,1.465225,7903857
c-py-empty-py,29.652320559,2885242
c-py-dm-c,1.459912,7019659
c-py-dm-py,29.391564161,4952896
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.459802,7774793
c-py-empty-py,29.77954385,3572038
c-py-dm-c,1.461593,7412321
c-py-dm-py,29.830523018,4467106
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.4604,7490250
c-py-empty-py,30.478023171,4309077
c-py-dm-c,1.459957,6798169
c-py-dm-py,30.245967358,3907595
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.512384,9157174
c-py-empty-py,29.904458528,3100128
c-py-dm-c,1.459482,7257219
c-py-dm-py,30.358205021,3007817
c-py-dm-stats,0,19980,20,5,19975,20,0
c-py-empty-c,1.460235,7323744
c-py-empty-py,30.891923472,4340858
c-py-dm-c,1.461782,7796866
c-py-dm-py,30.526640888,2664961
c-py-dm-stats,24,19956,20,0,19980,20,0
c-py-empty-c,1.459606,7323919
c-py-empty-py,28.875535142,4154200
c-py-dm-c,1.461664,7715611
c-py-dm-py,28.400695027,3879575
c-py-dm-stats,0,19980,20,1,19979,20,0
c-py-empty-c,1.459608,7171177
c-py-empty-py,34.607896148,3973989
c-py-dm-c,1.460794,7177025
c-py-dm-py,30.337717034,3410835
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.470826,7810144
c-py-empty-py,30.274940681,3959221
c-py-dm-c,1.46487,7917644
c-py-dm-py,30.573016584,3896862
c-py-dm-stats,5,19975,20,0,19980,20,0
c-py-empty-c,1.461109,7532038
c-py-empty-py,30.540776365,4800742
c-py-dm-c,1.461625,7739478
c-py-dm-py,28.203997324,3961094
c-py-dm-stats,0,19980,20,6,19974,20,0
c-py-empty-c,1.50956,8832824
c-py-empty-py,28.382744478,3956144
c-py-dm-c,1.460531,7371485
c-py-dm-py,28.894351492,4060627
c-py-dm-stats,9,19971,20,0,19980,20,0
py-native,15.232955933
py-drio,29.826702143
py-py-empty,29.75704331,4220479
py-py-empty,28.541664423,3755644
py-py-dm,30.486711923,3225383
py-py-dm,30.546715957,4175957
py-py-dm-stats,0,19630,370,0,19630,370,0
py-native,15.258147323
py-drio,30.102436177
py-py-empty,31.275894757,4837443
py-py-empty,30.080071758,4162381
py-py-dm,31.437127723,4018270
py-py-dm,30.899556341,3806305
py-py-dm-stats,0,19661,339,15,19646,339,0
py-native,15.245297773
py-drio,29.298503511
py-py-empty,30.249045573,3161266
py-py-empty,30.459256848,3350874
py-py-dm,30.205562835,2460279
py-py-dm,31.16411308,3749610
py-py-dm-stats,0,19661,339,9,19652,339,0
py-native,15.330993813
py-drio,28.68305926
py-py-empty,30.083467144,3383026
py-py-empty,30.507124722,2378309
py-py-dm,30.112331565,4138313
py-py-dm,30.558846281,3909736
py-py-dm-stats,0,19656,344,114,19542,344,0
py-native,15.269515483
py-drio,29.30948691
py-py-empty,30.521712644,3741374
py-py-empty,29.945592025,4397457
py-py-dm,30.053691342,4121729
py-py-dm,30.329402638,5117482
py-py-dm-stats,0,19660,340,0,19660,340,0
py-native,15.222978288
py-drio,29.680923126
py-py-empty,29.853708176,4749029
py-py-empty,30.964929462,3699583
py-py-dm,29.746849263,4227444
py-py-dm,30.078596693,2675376
py-py-dm-stats,59,19571,370,0,19630,370,0
py-native,15.39260745
py-drio,30.41803281
py-py-empty,30.045689549,3277734
py-py-empty,30.248515822,3815096
py-py-dm,30.657714259,2740659
py-py-dm,30.974023987,3423721
py-py-dm-stats,36,19624,340,6,19654,340,0
py-native,15.392614087
py-drio,28.454237816
py-py-empty,30.639060996,4007636
py-py-empty,30.733603098,3160390
py-py-dm,30.335384512,4003844
py-py-dm,30.172706912,4576462
py-py-dm-stats,26,19614,360,16,19624,360,0
py-native,15.249462246
py-drio,30.269570939
py-py-empty,29.480902337,3955381
py-py-empty,28.415716484,3606268
py-py-dm,29.363117286,3379488
py-py-dm,28.608015335,3958078
py-py-dm-stats,0,19660,340,0,19660,340,0
py-native,15.3333243
py-drio,27.471266106
py-py-empty,30.291796144,4142018
py-py-empty,30.157110902,4739609
py-py-dm,30.930326577,4439673
py-py-dm,29.181780625,3846670
py-py-dm-stats,0,19680,320,0,19680,320,0
