c-native,1.582067
c-drio,1.45309
c-c-empty,1.469081,7580650
c-c-empty,1.459555,7505250
c-c-dm,1.460177,7497446
c-c-dm,1.462868,7909534
c-c-dm-stats,0,19261,739,0,19261,739,0
c-c-dm-errs-good,1.473189,7750986
c-c-dm-errs-bad,1.459369,7263499
c-c-dm-errs-stats,158,18584,1258,34,18708,1258,129
c-native,1.590909
c-drio,1.406538
c-c-empty,1.459458,7711509
c-c-empty,1.494033,8083673
c-c-dm,1.45851,7275796
c-c-dm,1.460316,7405497
c-c-dm-stats,0,19237,763,0,19237,763,0
c-c-dm-errs-good,1.462153,7706084
c-c-dm-errs-bad,1.513286,9007710
c-c-dm-errs-stats,0,19160,840,0,19160,840,84
c-native,1.58943
c-drio,1.453104
c-c-empty,1.460241,7609241
c-c-empty,1.508004,8314531
c-c-dm,1.474393,7621530
c-c-dm,1.459468,7609535
c-c-dm-stats,0,19062,938,0,19062,938,0
c-c-dm-errs-good,1.462564,7713922
c-c-dm-errs-bad,1.460717,7681945
c-c-dm-errs-stats,217,16972,2811,45,17144,2811,280
c-native,1.584022
c-drio,1.449912
c-c-empty,1.45966,7666274
c-c-empty,1.460755,7795630
c-c-dm,1.458223,6976646
c-c-dm,1.460793,7685588
c-c-dm-stats,21,18824,1155,0,18845,1155,0
c-c-dm-errs-good,1.459287,7457976
c-c-dm-errs-bad,1.459607,7568661
c-c-dm-errs-stats,489,15710,3801,72,16127,3801,386
c-native,1.582293
c-drio,1.406322
c-c-empty,1.45803,7148717
c-c-empty,1.513785,9072712
c-c-dm,1.475368,8275011
c-c-dm,1.464433,6973507
c-c-dm-stats,42,18482,1476,0,18524,1476,0
c-c-dm-errs-good,1.468281,7382369
c-c-dm-errs-bad,1.479091,7043593
c-c-dm-errs-stats,336,14576,5088,31,14881,5088,508
c-native,1.583855
c-drio,1.449656
c-c-empty,1.460158,7642238
c-c-empty,1.512008,9280696
c-c-dm,1.469783,8297237
c-c-dm,1.470032,7928217
c-c-dm-stats,50,18336,1614,41,18345,1614,0
c-c-dm-errs-good,1.501146,6912781
c-c-dm-errs-bad,1.459011,7366086
c-c-dm-errs-stats,51,18573,1376,0,18624,1376,136
c-native,1.583583
c-drio,1.406652
c-c-empty,1.458974,7087753
c-c-empty,1.46186,7489478
c-c-dm,1.506653,8237977
c-c-dm,1.464047,7335259
c-c-dm-stats,0,19041,959,29,19012,959,0
c-c-dm-errs-good,1.504689,7457730
c-c-dm-errs-bad,1.459311,7434210
c-c-dm-errs-stats,78,18786,1136,91,18773,1136,111
c-native,1.582931
c-drio,1.439092
c-c-empty,1.479529,8252641
c-c-empty,1.476975,7221044
c-c-dm,1.473121,7609906
c-c-dm,1.460379,7196576
c-c-dm-stats,23,18853,1124,44,18832,1124,0
c-c-dm-errs-good,1.459001,7538952
c-c-dm-errs-bad,1.459361,7423854
