c-native,1.589284
c-drio,1.407902
c-c-empty,1.485569,0
c-c-empty,1.441428,0
c-c-dm,1.485332,0
c-c-dm,1.447728,0
c-c-dm-stats,0,19230,770,0,19230,770,0
c-c-dm-errs-good,1.441305,0
c-c-dm-errs-bad,1.440239,0
c-c-dm-errs-stats,90,19210,700,0,19300,700,70
c-native,1.582278
c-drio,1.419049
c-c-empty,1.440646,0
c-c-empty,1.441953,0
c-c-dm,1.441037,0
c-c-dm,1.452101,0
c-c-dm-stats,184,18840,976,0,19024,976,0
c-c-dm-errs-good,1.446459,0
c-c-dm-errs-bad,1.442059,0
c-c-dm-errs-stats,181,19006,813,0,19187,813,81
c-native,1.583521
c-drio,1.408159
c-c-empty,1.442391,0
c-c-empty,1.441817,0
c-c-dm,1.46285,0
c-c-dm,1.441087,0
c-c-dm-stats,178,18991,831,0,19169,831,0
c-c-dm-errs-good,1.487285,0
c-c-dm-errs-bad,1.44184,0
c-c-dm-errs-stats,155,19139,706,0,19294,706,71
c-native,1.586446
c-drio,1.407609
c-c-empty,1.48739,0
c-c-empty,1.440798,0
c-c-dm,1.441727,0
c-c-dm,1.442011,0
c-c-dm-stats,56,18290,1654,64,18282,1654,0
c-c-dm-errs-good,1.442157,0
c-c-dm-errs-bad,1.455931,0
c-c-dm-errs-stats,24,19256,720,0,19280,720,72
c-native,1.588628
c-drio,1.432883
c-c-empty,1.450829,0
c-c-empty,1.48375,0
c-c-dm,1.442093,0
c-c-dm,1.441581,0
c-c-dm-stats,247,17559,2194,121,17685,2194,0
c-c-dm-errs-good,1.460806,0
c-c-dm-errs-bad,1.45238,0
c-c-dm-errs-stats,20,18902,1078,47,18875,1078,108
c-native,1.581113
c-drio,1.410238
c-c-empty,1.446078,0
c-c-empty,1.452544,0
c-c-dm,1.441615,0
c-c-dm,1.440354,0
c-c-dm-stats,198,17413,2389,23,17588,2389,0
c-c-dm-errs-good,1.441681,0
c-c-dm-errs-bad,1.479042,0
c-c-dm-errs-stats,160,19127,713,0,19287,713,71
c-native,1.584615
c-drio,1.407835
c-c-empty,1.441021,0
c-c-empty,1.441628,0
c-c-dm,1.441798,0
c-c-dm,1.442466,0
c-c-dm-stats,64,16648,3288,364,16348,3288,0
c-c-dm-errs-good,1.457496,0
c-c-dm-errs-bad,1.442137,0
c-c-dm-errs-stats,132,19121,747,0,19253,747,75
c-native,1.583115
c-drio,1.410551
c-c-empty,1.445872,0
c-c-empty,1.453351,0
c-c-dm,1.453006,0
c-c-dm,1.470752,0
c-c-dm-stats,195,18005,1800,275,17925,1800,0
c-c-dm-errs-good,1.44091,0
c-c-dm-errs-bad,1.487877,0
c-c-dm-errs-stats,0,19306,694,0,19306,694,70
c-native,1.584906
c-drio,1.453353
c-c-empty,1.440401,0
c-c-empty,1.441148,0
c-c-dm,1.441477,0
c-c-dm,1.443543,0
c-c-dm-stats,0,18999,1001,97,18902,1001,0
c-c-dm-errs-good,1.442217,0
c-c-dm-errs-bad,1.442287,0
c-c-dm-errs-stats,0,18981,1019,0,18981,1019,102
c-native,1.582223
c-drio,1.406564
c-c-empty,1.441498,0
c-c-empty,1.451797,0
c-c-dm,1.441131,0
c-c-dm,1.44144,0
c-c-dm-stats,0,12578,7422,26,12552,7422,0
c-c-dm-errs-good,1.443088,0
c-c-dm-errs-bad,1.441905,0
c-c-dm-errs-stats,15,18774,1211,0,18789,1211,121
c-py-empty-c,1.440469,0
c-py-empty-py,28.589100937,0
c-py-dm-c,1.467306,0
c-py-dm-py,30.114435706,0
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.471835,0
c-py-empty-py,30.244094478,0
c-py-dm-c,1.441072,0
c-py-dm-py,28.18050075,0
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.468563,0
c-py-empty-py,30.253085171,0
c-py-dm-c,1.464148,0
c-py-dm-py,30.896836893,0
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.473742,0
