c-native,1.585053
c-drio,1.415175
c-c-empty,1.441558,0
c-c-empty,1.442325,0
c-c-dm,1.440983,0
c-c-dm,1.442163,0
c-c-dm-stats,1513,17435,1052,222,18726,1052,0
c-c-dm-errs-good,1.441198,0
c-c-dm-errs-bad,1.445483,0
c-c-dm-errs-stats,560,18753,687,426,18887,687,71
c-native,1.590935
c-drio,1.407132
c-c-empty,1.486948,0
c-c-empty,1.44207,0
c-c-dm,1.441931,0
c-c-dm,1.440957,0
c-c-dm-stats,1684,17426,890,248,18862,890,0
c-c-dm-errs-good,1.457648,0
c-c-dm-errs-bad,1.441424,0
c-c-dm-errs-stats,592,18725,683,731,18586,683,69
c-native,1.592492
c-drio,1.407821
c-c-empty,1.441584,0
c-c-empty,1.470553,0
c-c-dm,1.440696,0
c-c-dm,1.45213,0
c-c-dm-stats,641,18605,754,22,19224,754,0
c-c-dm-errs-good,1.458525,0
c-c-dm-errs-bad,1.448511,0
c-c-dm-errs-stats,1013,18164,823,231,18946,823,81
c-native,1.582575
c-drio,1.451224
c-c-empty,1.441031,0
c-c-empty,1.441892,0
c-c-dm,1.441126,0
c-c-dm,1.487498,0
c-c-dm-stats,455,18874,671,40,19289,671,0
c-c-dm-errs-good,1.441268,0
c-c-dm-errs-bad,1.442137,0
c-c-dm-errs-stats,395,18916,689,463,18848,689,71
c-native,1.59244
c-drio,1.414022
c-c-empty,1.476176,0
c-c-empty,1.483765,0
c-c-dm,1.447309,0
c-c-dm,1.441635,0
c-c-dm-stats,290,18917,793,198,19009,793,0
c-c-dm-errs-good,1.472659,0
c-c-dm-errs-bad,1.44158,0
c-c-dm-errs-stats,390,18911,699,78,19223,699,71
c-native,1.590618
c-drio,1.406607
c-c-empty,1.441451,0
c-c-empty,1.441256,0
c-c-dm,1.477778,0
c-c-dm,1.442171,0
c-c-dm-stats,376,18897,727,46,19227,727,0
c-c-dm-errs-good,1.466112,0
c-c-dm-errs-bad,1.442232,0
c-c-dm-errs-stats,427,18857,716,54,19230,716,73
c-native,1.587898
c-drio,1.452015
c-c-empty,1.444808,0
c-c-empty,1.441923,0
c-c-dm,1.485402,0
c-c-dm,1.441935,0
c-c-dm-stats,794,18506,700,23,19277,700,0
c-c-dm-errs-good,1.444544,0
c-c-dm-errs-bad,1.442338,0
c-c-dm-errs-stats,480,18763,757,206,19037,757,75
c-native,1.584849
c-drio,1.407673
c-c-empty,1.440434,0
c-c-empty,1.44057,0
c-c-dm,1.440269,0
c-c-dm,1.440842,0
c-c-dm-stats,1519,17192,1289,204,18507,1289,0
c-c-dm-errs-good,1.450466,0
c-c-dm-errs-bad,1.440795,0
c-c-dm-errs-stats,270,19028,702,88,19210,702,72
c-native,1.581959
c-drio,1.408326
c-c-empty,1.441869,0
c-c-empty,1.442297,0
c-c-dm,1.45064,0
c-c-dm,1.442029,0
c-c-dm-stats,438,18799,763,54,19183,763,0
c-c-dm-errs-good,1.445027,0
c-c-dm-errs-bad,1.442901,0
c-c-dm-errs-stats,113,19206,681,81,19238,681,68
c-native,1.582007
c-drio,1.419543
c-c-empty,1.442136,0
c-c-empty,1.441746,0
c-c-dm,1.468313,0
c-c-dm,1.442804,0
c-c-dm-stats,511,18746,743,48,19209,743,0
c-c-dm-errs-good,1.440929,0
c-c-dm-errs-bad,1.453298,0
c-c-dm-errs-stats,272,19043,685,405,18910,685,70
c-py-empty-c,1.441494,0
c-py-empty-py,30.208014724,0
c-py-dm-c,1.442436,0
c-py-dm-py,29.536310821,0
c-py-dm-stats,0,19980,20,0,19980,20,0
c-py-empty-c,1.446096,0
c-py-empty-py,30.729195372,0
c-py-dm-c,1.440043,0
c-py-dm-py,29.628097107,0
c-py-dm-stats,0,19981,19,1,19980,19,0
c-py-empty-c,1.440304,0
c-py-empty-py,29.799751552,0
c-py-dm-c,1.442734,0
c-py-dm-py,29.834783071,0
c-py-dm-stats,32,19948,20,0,19980,20,0
