c-native,0.397439
c-drio,0.36824
c-c-empty,0.394561,4026240
c-c-empty,0.383818,4029229
c-c-dm,0.389117,4261192
c-c-dm,0.389217,4337900
c-c-dm-stats,487,8653,860,0,9140,860,0
c-c-dm-errs-good,0.390779,4038279
c-c-dm-errs-bad,0.39407,3596575
c-c-dm-errs-stats,98,9014,888,643,8469,888,91
c-native,0.397251
c-drio,0.359526
c-c-empty,0.384691,4196287
c-c-empty,0.384717,4424066
c-c-dm,0.383816,3892748
c-c-dm,0.383956,4061327
c-c-dm-stats,942,7037,2021,240,7739,2021,0
c-c-dm-errs-good,0.384516,4157803
c-c-dm-errs-bad,0.384916,4314572
c-c-dm-errs-stats,708,8226,1066,143,8791,1066,108
c-native,0.399166
c-drio,0.358433
c-c-empty,0.384563,4352910
c-c-empty,0.394519,3942812
c-c-dm,0.393944,3709800
c-c-dm,0.394157,3788240
c-c-dm-stats,606,8398,996,14,8990,996,0
c-c-dm-errs-good,0.394817,4032206
c-c-dm-errs-bad,0.39578,4079927
c-c-dm-errs-stats,976,7471,1553,375,8072,1553,158
c-native,0.397203
c-drio,0.35768
c-c-empty,0.396551,4409556
c-c-empty,0.391928,4506838
c-c-dm,0.394899,3948528
c-c-dm,0.383961,3952940
c-c-dm-stats,343,8925,732,45,9223,732,0
c-c-dm-errs-good,0.39492,4037870
c-c-dm-errs-bad,0.392549,4537995
c-c-dm-errs-stats,592,8450,958,128,8914,958,98
c-native,0.39863
c-drio,0.368365
c-c-empty,0.383088,3652980
c-c-empty,0.384029,4098980
c-c-dm,0.39068,3976023
c-c-dm,0.383429,3865560
c-c-dm-stats,89,9298,613,101,9286,613,0
c-c-dm-errs-good,0.39517,3931581
c-c-dm-errs-bad,0.383863,3953781
c-c-dm-errs-stats,253,9040,707,181,9112,707,68
c-native,0.398116
c-drio,0.365645
c-c-empty,0.383844,4040110
c-c-empty,0.383813,3973139
c-c-dm,0.384131,4094663
c-c-dm,0.388129,4149492
c-c-dm-stats,128,9203,669,118,9213,669,0
c-c-dm-errs-good,0.383792,4004440
c-c-dm-errs-bad,0.396016,4179744
c-c-dm-errs-stats,248,9210,542,259,9199,542,56
c-native,0.398322
c-drio,0.368362
c-c-empty,0.392943,3155868
c-c-empty,0.39291,3246739
c-c-dm,0.383325,3580818
c-c-dm,0.383983,4086775
c-c-dm-stats,171,8990,839,483,8678,839,0
c-c-dm-errs-good,0.384129,3995550
c-c-dm-errs-bad,0.384201,3884185
c-c-dm-errs-stats,1259,6661,2080,617,7303,2080,209
c-native,0.396906
c-drio,0.357554
c-c-empty,0.39577,4484047
c-c-empty,0.383723,3933606
c-c-dm,0.384778,4383965
c-c-dm,0.384866,4387194
c-c-dm-stats,437,8747,816,28,9156,816,0
c-c-dm-errs-good,0.394658,4142093
c-c-dm-errs-bad,0.384119,4029151
c-c-dm-errs-stats,141,9301,558,169,9273,558,56
c-native,0.399363
c-drio,0.357556
c-c-empty,0.385477,4476035
c-c-empty,0.394851,3950043
c-c-dm,0.385208,4339276
c-c-dm,0.385201,4441229
c-c-dm-stats,1086,7211,1703,36,8261,1703,0
c-c-dm-errs-good,0.383876,3872063
c-c-dm-errs-bad,0.395945,4220922
c-c-dm-errs-stats,156,9404,440,126,9434,440,44
c-native,0.399389
c-drio,0.361306
c-c-empty,0.385806,3975516
c-c-empty,0.383787,3952527
c-c-dm,0.395701,4377767
c-c-dm,0.394355,3917540
c-c-dm-stats,558,8481,961,6,9033,961,0
c-c-dm-errs-good,0.394852,4112727
c-c-dm-errs-bad,0.395135,3926405
c-c-dm-errs-stats,1706,6400,1894,782,7324,1894,189
c-py-empty-c,0.383699,3929102
c-py-empty-py,7.767986418,1250270
c-py-dm-c,0.38398,3846702
c-py-dm-py,7.537997887,1685831
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.383886,3870110
c-py-empty-py,7.604155987,2974146
c-py-dm-c,0.390304,4286012
c-py-dm-py,7.706987157,1763642
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.382995,3640568
c-py-empty-py,7.839760629,1952257
c-py-dm-c,0.383827,3999167
c-py-dm-py,7.760299699,2276506
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.383749,3979874
c-py-empty-py,7.619584339,2813819
c-py-dm-c,0.383902,4081077
c-py-dm-py,7.418131756,2464161
c-py-dm-stats,0,9992,8,8,9984,8,0
c-py-empty-c,0.382781,3581116
c-py-empty-py,7.53514618,2171117
c-py-dm-c,0.39071,3931777
c-py-dm-py,7.399786837,2757810
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.395549,4286205
c-py-empty-py,7.693871441,2312401
c-py-dm-c,0.389256,4359519
c-py-dm-py,7.474197066,2424039
c-py-dm-stats,5,9985,10,0,9990,10,0
c-py-empty-c,0.384104,4125393
