c-native,0.399731
c-drio,0.357308
c-c-empty,0.373513,0
c-c-empty,0.373532,0
c-c-dm,0.374143,0
c-c-dm,0.373881,0
c-c-dm-stats,239,9344,417,754,8829,417,0
c-c-dm-errs-good,0.375085,0
c-c-dm-errs-bad,0.385332,0
c-c-dm-errs-stats,407,9258,335,172,9493,335,34
c-native,0.39918
c-drio,0.357398
c-c-empty,0.37368,0
c-c-empty,0.38455,0
c-c-dm,0.373623,0
c-c-dm,0.384639,0
c-c-dm-stats,259,9381,360,369,9271,360,0
c-c-dm-errs-good,0.373636,0
c-c-dm-errs-bad,0.385177,0
c-c-dm-errs-stats,231,9442,327,277,9396,327,33
c-native,0.399356
c-drio,0.361777
c-c-empty,0.375853,0
c-c-empty,0.384594,0
c-c-dm,0.384247,0
c-c-dm,0.38437,0
c-c-dm-stats,2225,6690,1085,625,8290,1085,0
c-c-dm-errs-good,0.381274,0
c-c-dm-errs-bad,0.385347,0
c-c-dm-errs-stats,33,9587,380,227,9393,380,39
c-native,0.399152
c-drio,0.357531
c-c-empty,0.384267,0
c-c-empty,0.373621,0
c-c-dm,0.375118,0
c-c-dm,0.38434,0
c-c-dm-stats,79,9382,539,749,8712,539,0
c-c-dm-errs-good,0.37355,0
c-c-dm-errs-bad,0.385408,0
c-c-dm-errs-stats,70,9563,367,285,9348,367,36
c-native,0.399121
c-drio,0.368081
c-c-empty,0.384295,0
c-c-empty,0.373808,0
c-c-dm,0.384392,0
c-c-dm,0.373475,0
c-c-dm-stats,848,8772,380,0,9620,380,0
c-c-dm-errs-good,0.384238,0
c-c-dm-errs-bad,0.374303,0
c-c-dm-errs-stats,372,9275,353,278,9369,353,34
c-native,0.397279
c-drio,0.368544
c-c-empty,0.38462,0
c-c-empty,0.373742,0
c-c-dm,0.373694,0
c-c-dm,0.373765,0
c-c-dm-stats,968,8426,606,370,9024,606,0
c-c-dm-errs-good,0.373955,0
c-c-dm-errs-bad,0.385639,0
c-c-dm-errs-stats,214,9450,336,204,9460,336,34
c-native,0.399218
c-drio,0.357655
c-c-empty,0.384352,0
c-c-empty,0.37373,0
c-c-dm,0.384195,0
c-c-dm,0.373477,0
c-c-dm-stats,446,9156,398,148,9454,398,0
c-c-dm-errs-good,0.384531,0
c-c-dm-errs-bad,0.385291,0
c-c-dm-errs-stats,281,9362,357,436,9207,357,35
c-native,0.39941
c-drio,0.368135
c-c-empty,0.384322,0
c-c-empty,0.384941,0
c-c-dm,0.384554,0
c-c-dm,0.373939,0
c-c-dm-stats,448,9215,337,3,9660,337,0
c-c-dm-errs-good,0.384175,0
c-c-dm-errs-bad,0.374088,0
c-c-dm-errs-stats,474,9176,350,249,9401,350,34
c-native,0.398446
c-drio,0.35739
c-c-empty,0.373521,0
c-c-empty,0.373815,0
c-c-dm,0.373538,0
c-c-dm,0.373592,0
c-c-dm-stats,2880,6319,801,948,8251,801,0
c-c-dm-errs-good,0.384331,0
c-c-dm-errs-bad,0.373912,0
c-c-dm-errs-stats,53,9619,328,59,9613,328,33
c-native,0.399387
c-drio,0.358582
c-c-empty,0.373662,0
c-c-empty,0.373937,0
c-c-dm,0.384354,0
c-c-dm,0.373429,0
c-c-dm-stats,405,9214,381,251,9368,381,0
c-c-dm-errs-good,0.383384,0
c-c-dm-errs-bad,0.374386,0
c-c-dm-errs-stats,517,9026,457,133,9410,457,44
c-py-empty-c,0.373841,0
c-py-empty-py,7.591717046,0
c-py-dm-c,0.384408,0
c-py-dm-py,7.653734248,0
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.374005,0
c-py-empty-py,7.586211594,0
c-py-dm-c,0.380673,0
c-py-dm-py,7.14865822,0
c-py-dm-stats,0,9992,8,16,9976,8,0
c-py-empty-c,0.379433,0
c-py-empty-py,7.510063277,0
c-py-dm-c,0.373965,0
c-py-dm-py,7.575236785,0
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.373692,0
c-py-empty-py,7.946556263,0
c-py-dm-c,0.37371,0
c-py-dm-py,7.679198536,0
c-py-dm-stats,3,9987,10,0,9990,10,0
c-py-empty-c,0.384491,0
c-py-empty-py,7.638892706,0
c-py-dm-c,0.380278,0
c-py-dm-py,7.615731427,0
c-py-dm-stats,0,9992,8,14,9978,8,0
c-py-empty-c,0.384706,0
c-py-empty-py,7.66114149,0
c-py-dm-c,0.373607,0
c-py-dm-py,7.445160869,0
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.384983,0
c-py-empty-py,7.520087506,0
c-py-dm-c,0.384429,0
c-py-dm-py,7.588141791,0
c-py-dm-stats,1,9990,9,4,9987,9,0
c-py-empty-c,0.373686,0
c-py-empty-py,7.449122298,0
c-py-dm-c,0.374221,0
c-py-dm-py,7.807571317,0
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.379795,0
c-py-empty-py,7.642718092,0
c-py-dm-c,0.373783,0
c-py-dm-py,7.549948895,0
c-py-dm-stats,0,9990,10,0,9990,10,0
c-py-empty-c,0.373976,0
c-py-empty-py,7.604790077,0
c-py-dm-c,0.37397,0
c-py-dm-py,7.470521291,0
c-py-dm-stats,0,9992,8,16,9976,8,0
py-native,3.830073909
py-drio,7.150488541
py-py-empty,7.539557488,0
py-py-empty,7.652382548,0
py-py-dm,7.430373414,0
py-py-dm,7.671703127,0
py-py-dm-stats,0,9840,160,0,9840,160,0
py-native,3.820485982
py-drio,7.577197511
py-py-empty,7.550052974,0
py-py-empty,7.11512381,0
py-py-dm,7.631447664,0
py-py-dm,7.553662791,0
py-py-dm-stats,0,9840,160,0,9840,160,0
py-native,3.821426432
py-drio,7.443489624
py-py-empty,7.501071712,0
py-py-empty,7.754223735,0
py-py-dm,7.51566455,0
py-py-dm,7.700643371,0
py-py-dm-stats,0,9840,160,0,9840,160,0
py-native,3.819172782
py-drio,7.798350926
py-py-empty,7.793034419,0
py-py-empty,7.58102176,0
py-py-dm,7.416203603,0
py-py-dm,7.432093377,0
py-py-dm-stats,18,9781,201,0,9799,201,0
py-native,3.832152691
py-drio,7.499691824
py-py-empty,7.628255021,0
py-py-empty,7.506889441,0
py-py-dm,7.445509002,0
py-py-dm,7.668965988,0
py-py-dm-stats,0,9840,160,0,9840,160,0
py-native,3.83062387
py-drio,7.6264684
py-py-empty,7.604409854,0
py-py-empty,7.784460334,0
py-py-dm,7.638115222,0
py-py-dm,7.429025311,0
py-py-dm-stats,5,9837,158,0,9842,158,0
py-native,3.841334606
py-drio,7.516379429
py-py-empty,7.632782757,0
py-py-empty,7.339652472,0
py-py-dm,7.785260194,0
py-py-dm,7.492865354,0
py-py-dm-stats,0,9840,160,0,9840,160,0
py-native,3.829783987
py-drio,7.533508614
py-py-empty,7.5562195,0
py-py-empty,7.418791406,0
py-py-dm,7.547169099,0
py-py-dm,7.652404021,0
py-py-dm-stats,0,9840,160,0,9840,160,0
py-native,3.837681166
py-drio,7.659041256
py-py-empty,7.318952856,0
py-py-empty,7.549783037,0
py-py-dm,7.722331744,0
py-py-dm,7.566522822,0
py-py-dm-stats,3,9837,160,56,9784,160,0
py-native,3.808781785
py-drio,7.582866079
py-py-empty,7.520912043,0
py-py-empty,7.531533336,0
py-py-dm,7.725439961,0
py-py-dm,7.734025076,0
py-py-dm-stats,76,9592,332,266,9402,332,0
