c-native,0.399016
c-drio,0.368536
c-c-empty,0.376858,0
c-c-empty,0.374063,0
c-c-dm,0.37403,0
c-c-dm,0.373751,0
c-c-dm-stats,0,9310,690,0,9310,690,0
c-c-dm-errs-good,0.373698,0
c-c-dm-errs-bad,0.374445,0
c-c-dm-errs-stats,0,9640,360,0,9640,360,36
c-native,0.399667
c-drio,0.368511
c-c-empty,0.373928,0
c-c-empty,0.373757,0
c-c-dm,0.374046,0
c-c-dm,0.373745,0
c-c-dm-stats,0,8119,1881,0,8119,1881,0
c-c-dm-errs-good,0.374155,0
c-c-dm-errs-bad,0.374945,0
c-c-dm-errs-stats,0,9556,444,0,9556,444,45
c-native,0.39703
c-drio,0.357368
c-c-empty,0.373936,0
c-c-empty,0.373786,0
c-c-dm,0.373763,0
c-c-dm,0.380785,0
c-c-dm-stats,0,9248,752,0,9248,752,0
c-c-dm-errs-good,0.373905,0
c-c-dm-errs-bad,0.385661,0
c-c-dm-errs-stats,0,9348,652,0,9348,652,65
c-native,0.39924
c-drio,0.368369
c-c-empty,0.373828,0
c-c-empty,0.373637,0
c-c-dm,0.375365,0
c-c-dm,0.374155,0
c-c-dm-stats,0,8815,1185,0,8815,1185,0
c-c-dm-errs-good,0.384926,0
c-c-dm-errs-bad,0.374214,0
c-c-dm-errs-stats,0,9371,629,0,9371,629,62
c-native,0.397973
c-drio,0.365257
c-c-empty,0.385512,0
c-c-empty,0.373739,0
c-c-dm,0.373633,0
c-c-dm,0.384926,0
c-c-dm-stats,0,9179,821,0,9179,821,0
c-c-dm-errs-good,0.377697,0
c-c-dm-errs-bad,0.386044,0
c-c-dm-errs-stats,0,9640,360,0,9640,360,36
c-native,0.399625
c-drio,0.368257
c-c-empty,0.373591,0
c-c-empty,0.378466,0
c-c-dm,0.385058,0
c-c-dm,0.37393,0
c-c-dm-stats,0,8805,1195,0,8805,1195,0
c-c-dm-errs-good,0.385054,0
c-c-dm-errs-bad,0.374083,0
c-c-dm-errs-stats,0,9561,439,0,9561,439,44
c-native,0.397426
