c-native,0.399069
c-drio,0.357616
c-c-empty,0.387842,4176511
c-c-empty,0.384449,4300764
c-c-dm,0.395137,4072176
c-c-dm,0.384057,3950414
c-c-dm-stats,0,9283,717,0,9283,717,0
c-c-dm-errs-good,0.383059,3568454
c-c-dm-errs-bad,0.384061,3824404
c-c-dm-errs-stats,0,7389,2611,0,7389,2611,260
c-native,0.398817
c-drio,0.364514
c-c-empty,0.383597,3875379
c-c-empty,0.383622,3970854
c-c-dm,0.383806,3943253
c-c-dm,0.383337,3824352
c-c-dm-stats,0,8952,1048,0,8952,1048,0
c-c-dm-errs-good,0.384221,4090311
c-c-dm-errs-bad,0.392201,4548571
c-c-dm-errs-stats,0,8930,1070,0,8930,1070,106
c-native,0.397357
c-drio,0.357379
c-c-empty,0.382856,3672066
c-c-empty,0.382992,3716947
c-c-dm,0.392607,4434959
c-c-dm,0.384027,4081499
c-c-dm-stats,0,9085,915,0,9085,915,0
c-c-dm-errs-good,0.395162,4205469
c-c-dm-errs-bad,0.383301,3739481
c-c-dm-errs-stats,0,9159,841,0,9159,841,85
c-native,0.399067
c-drio,0.359234
c-c-empty,0.384613,4228064
c-c-empty,0.388068,3884579
c-c-dm,0.391598,4483821
c-c-dm,0.383028,3683541
c-c-dm-stats,0,9513,487,0,9513,487,0
c-c-dm-errs-good,0.383924,4006581
c-c-dm-errs-bad,0.383629,3736779
c-c-dm-errs-stats,0,7195,2805,0,7195,2805,278
c-native,0.399236
c-drio,0.367953
c-c-empty,0.383438,3867697
c-c-empty,0.391605,4311352
c-c-dm,0.383827,3698345
c-c-dm,0.383221,3781936
c-c-dm-stats,0,8959,1041,0,8959,1041,0
c-c-dm-errs-good,0.394352,3964029
c-c-dm-errs-bad,0.383984,3985974
c-c-dm-errs-stats,0,9374,626,0,9374,626,65
c-native,0.397327
c-drio,0.357717
c-c-empty,0.383849,3884146
c-c-empty,0.394798,4079208
c-c-dm,0.38422,4051147
c-c-dm,0.394109,3832872
c-c-dm-stats,0,9412,588,0,9412,588,0
c-c-dm-errs-good,0.382723,3530269
c-c-dm-errs-bad,0.384296,3955565
c-c-dm-errs-stats,0,9369,631,0,9369,631,63
c-native,0.397522
c-drio,0.357266
c-c-empty,0.394625,4100090
c-c-empty,0.393782,3739415
c-c-dm,0.384652,4398780
c-c-dm,0.383964,4013790
c-c-dm-stats,0,7738,2262,0,7738,2262,0
c-c-dm-errs-good,0.383835,3996757
c-c-dm-errs-bad,0.395291,4052697
