benchmark,tsan-races,tsan-usertime,tsan-systime,tsan-time,tsan-maxmem,helgrind-races,helgrind-usertime,helgrind-systime,helgrind-time,helgrind-maxmem,vamos-races,vamos-usertime,vamos-systime,vamos-time,vamos-maxmem,vamos-maxmem-mon,vamos-eventsnum,vamos-dropped,vamos-holes
mix002.opt.i , 0,0.01,0.0,0.51,19016,0,0.45,0.01,0.46,50532,0,0.0,0.0,0.16,1744,3636,52,0,0
mix003.oepc.i , 0,0.0,0.0,0.52,19068,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1772,3448,64,0,0
mix003_power.opt_pso.opt_rmo.opt_tso.opt.i , 0,0.0,0.01,0.52,18880,0,0.45,0.01,0.47,50528,0,0.0,0.0,0.16,1796,3448,45,0,0
mix004.oepc.i , 0,0.0,0.0,0.13,19696,0,0.45,0.01,0.47,50512,0,0.0,0.0,0.16,1760,3456,87,0,0
mix004.opt.i , 0,0.0,0.0,0.52,19060,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1828,3400,58,0,0
mix005.opt.i , 0,0.0,0.01,0.52,19056,0,0.46,0.0,0.47,50532,0,0.0,0.0,0.16,1920,3516,57,0,0
mix005_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.13,19628,0,0.46,0.01,0.47,49804,0,0.0,0.0,0.16,1812,3532,86,0,0
mix005_tso.oepc.i , 0,0.0,0.01,0.52,19096,0,0.45,0.02,0.47,49804,0,0.0,0.0,0.16,1748,3528,86,0,0
mix006.opt.i , 0,0.0,0.0,0.52,19024,0,0.45,0.01,0.47,50528,0,0.0,0.0,0.16,1756,3540,44,0,0
mix006_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18996,0,0.45,0.02,0.47,50532,0,0.0,0.0,0.16,1680,3448,63,0,0
mix006_tso.oepc.i , 0,0.0,0.0,0.52,18888,0,0.45,0.01,0.47,50528,0,0.0,0.0,0.16,1796,3456,82,0,0
mix007.oepc.i , 0,0.0,0.0,0.52,19000,0,0.44,0.02,0.47,50516,0,0.0,0.0,0.16,1848,3460,86,0,0
mix007.opt.i , 0,0.01,0.0,0.52,18944,0,0.45,0.02,0.47,50532,0,0.0,0.0,0.16,1764,3568,57,0,0
mix008.opt.i , 0,0.0,0.0,0.52,19044,0,0.45,0.01,0.47,50528,0,0.0,0.0,0.17,1772,3456,56,0,0
mix008_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,18976,0,0.44,0.02,0.47,49804,0,0.0,0.0,0.16,1804,3644,85,0,0
mix008_tso.oepc.i , 0,0.0,0.0,0.52,19068,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1768,3572,96,0,0
mix009.oepc.i , 0,0.0,0.0,0.52,18856,0,0.44,0.02,0.46,50268,0,0.0,0.0,0.16,1760,3496,44,0,0
mix009.opt.i , 0,0.0,0.01,0.52,19028,0,0.45,0.01,0.47,50516,0,0.0,0.0,0.16,1740,3428,35,0,0
mix010.oepc.i , 0,0.0,0.01,0.52,18896,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1764,3688,67,0,0
mix010.opt.i , 0,0.0,0.0,0.52,19032,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1844,3520,48,0,0
mix011.opt.i , 0,0.0,0.0,0.52,19096,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1796,3452,47,0,0
mix011_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18864,0,0.44,0.02,0.47,50528,0,0.0,0.0,0.16,1748,3452,66,0,0
mix011_tso.oepc.i , 0,0.0,0.0,0.52,18932,0,0.45,0.02,0.47,50532,0,0.0,0.0,0.16,1736,3448,66,0,0
mix012_power.oepc_power.opt_pso.oepc_rmo.oepc_rmo.opt_tso.oepc.i , 0,0.0,0.0,0.13,19876,0,0.44,0.02,0.47,50244,0,0.0,0.0,0.16,1664,3416,37,0,0
mix012_pso.opt_tso.opt.i , 0,0.0,0.0,0.52,19116,0,0.45,0.01,0.47,50256,0,0.0,0.0,0.16,1788,3668,28,0,0
mix013.oepc.i , 0,0.0,0.0,0.52,18912,0,0.45,0.01,0.47,50516,0,0.0,0.0,0.16,1780,3644,87,0,0
mix013.opt.i , 0,0.0,0.0,0.52,18844,0,0.46,0.01,0.47,50528,0,0.0,0.0,0.16,1752,3688,58,0,0
mix014.opt.i , 0,0.0,0.01,0.52,18900,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1764,3572,57,0,0
mix014_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18904,0,0.45,0.02,0.47,49804,0,0.0,0.0,0.16,1828,3464,86,0,0
mix014_tso.oepc.i , 0,0.01,0.0,0.52,18996,0,0.45,0.02,0.47,50252,0,0.0,0.0,0.16,1848,3584,127,0,0
mix015.oepc.i , 0,0.0,0.01,0.52,18936,0,0.45,0.02,0.47,50532,0,0.0,0.0,0.16,1748,3452,67,0,0
mix015.opt.i , 0,0.01,0.0,0.52,18956,0,0.46,0.0,0.47,50532,0,0.0,0.0,0.16,1776,3504,48,0,0
mix016.oepc.i , 0,0.0,0.0,0.52,19136,0,0.43,0.04,0.47,50528,0,0.0,0.0,0.16,1736,3512,60,0,0
mix016_power.opt_rmo.opt.i , 0,0.01,0.0,0.52,19036,0,0.43,0.03,0.46,50516,0,0.0,0.0,0.16,1744,3508,61,0,0
