benchmark,tsan-races,tsan-usertime,tsan-systime,tsan-time,tsan-maxmem,helgrind-races,helgrind-usertime,helgrind-systime,helgrind-time,helgrind-maxmem,vamos-races,vamos-usertime,vamos-systime,vamos-time,vamos-maxmem,vamos-maxmem-mon,vamos-eventsnum,vamos-dropped,vamos-holes
lamport.i , 0,0.0,0.01,0.01,18584,0,0.46,0.01,0.47,50516,0,0.0,0.0,0.04,1764,3652,50,0,0
lazy01.i , 0,0.0,0.0,0.13,19760,0,0.45,0.02,0.6,50512,0,0.0,0.0,0.16,1848,3416,16,0,0
list1.i , 0,0.0,0.01,0.01,19052,0,0.46,0.02,0.49,49828,0,0.0,0.0,0.04,1916,3404,8,0,0
mix000.oepc.i , 0,0.0,0.0,0.52,18876,0,0.43,0.03,0.47,50532,0,0.0,0.0,0.16,1832,3424,51,0,0
mix000.opt.i , 0,0.0,0.0,0.52,18860,0,0.45,0.01,0.46,50268,0,0.0,0.0,0.16,1896,3364,32,0,0
mix001.oepc.i , 0,0.0,0.0,0.52,18964,0,0.45,0.01,0.46,49804,0,0.0,0.0,0.16,1780,3444,78,0,0
mix001.opt.i , 0,0.0,0.01,0.52,19148,0,0.45,0.01,0.47,50536,0,0.0,0.0,0.16,1844,3456,49,0,0
mix002.oepc.i , 0,0.0,0.0,0.52,19020,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1768,3448,71,0,0
mix002.opt.i , 0,0.0,0.0,0.52,19032,0,0.43,0.03,0.46,50532,0,0.0,0.0,0.16,1784,3520,52,0,0
mix003.oepc.i , 0,0.0,0.01,0.52,18824,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1752,3508,64,0,0
mix003_power.opt_pso.opt_rmo.opt_tso.opt.i , 0,0.0,0.01,0.52,18956,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1800,3508,45,0,0
mix004.oepc.i , 0,0.0,0.0,0.52,18848,0,0.44,0.02,0.47,50516,0,0.0,0.0,0.16,1848,3532,87,0,0
mix004.opt.i , 0,0.0,0.0,0.52,18920,0,0.43,0.03,0.47,50532,0,0.0,0.0,0.16,1760,3464,33,0,0
mix005.opt.i , 0,0.0,0.01,0.52,18980,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1784,3464,57,0,0
mix005_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18992,0,0.44,0.02,0.47,49804,0,0.0,0.0,0.16,1748,3464,86,0,0
mix005_tso.oepc.i , 0,0.0,0.0,0.52,19124,0,0.44,0.02,0.47,49804,0,0.0,0.0,0.16,1684,3524,86,0,0
mix006.opt.i , 0,0.0,0.0,0.52,18932,0,0.45,0.01,0.47,50528,0,0.0,0.0,0.16,1756,3448,44,0,0
mix006_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18888,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1764,3448,63,0,0
mix006_tso.oepc.i , 0,0.0,0.0,0.13,19704,0,0.45,0.02,0.47,50524,0,0.0,0.0,0.16,1748,3564,82,0,0
mix007.oepc.i , 0,0.0,0.0,0.52,19136,0,0.45,0.01,0.47,50516,0,0.0,0.0,0.17,1776,3464,86,0,0
mix007.opt.i , 0,0.0,0.0,0.52,18996,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1688,3528,57,0,0
mix008.opt.i , 0,0.0,0.0,0.52,19032,0,0.44,0.03,0.47,50536,0,0.0,0.0,0.16,1788,3524,56,0,0
mix008_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19048,0,0.45,0.01,0.47,49804,0,0.0,0.0,0.16,1800,3528,85,0,0
mix008_tso.oepc.i , 0,0.0,0.0,0.52,18992,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1776,3572,96,0,0
mix009.oepc.i , 0,0.0,0.0,0.52,19016,0,0.44,0.02,0.47,50272,0,0.0,0.0,0.16,1828,3496,44,0,0
mix009.opt.i , 0,0.0,0.01,0.52,18904,0,0.44,0.01,0.47,50512,0,0.0,0.0,0.16,1828,3416,35,0,0
mix010.oepc.i , 0,0.0,0.01,0.52,18964,0,0.43,0.03,0.47,50532,0,0.0,0.0,0.16,1792,3632,67,0,0
mix010.opt.i , 0,0.0,0.0,0.52,18876,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1736,3508,48,0,0
mix011.opt.i , 0,0.0,0.0,0.52,18880,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1800,3452,47,0,0
mix011_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.51,18800,0,0.43,0.03,0.47,50532,0,0.0,0.0,0.16,1740,3452,66,0,0
mix011_tso.oepc.i , 0,0.0,0.0,0.52,18956,0,0.45,0.01,0.47,50528,0,0.0,0.0,0.16,1800,3688,66,0,0
mix012_power.oepc_power.opt_pso.oepc_rmo.oepc_rmo.opt_tso.oepc.i , 0,0.0,0.0,0.52,18724,0,0.43,0.03,0.47,50244,0,0.0,0.0,0.16,1748,3488,37,0,0
mix012_pso.opt_tso.opt.i , 0,0.0,0.01,0.52,18932,0,0.43,0.03,0.47,50260,0,0.0,0.0,0.16,1744,3484,28,0,0
mix013.oepc.i , 0,0.0,0.0,0.52,19060,0,0.45,0.01,0.47,50516,0,0.0,0.0,0.16,1776,3412,87,0,0
mix013.opt.i , 0,0.0,0.0,0.52,18992,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1804,3520,58,0,0
mix014.opt.i , 0,0.0,0.0,0.52,18976,0,0.45,0.02,0.47,50532,0,0.0,0.0,0.16,1852,3468,57,0,0
mix014_power.oepc_pso.oepc_rmo.oepc.i , 0,0.01,0.0,0.52,18896,0,0.44,0.02,0.47,49804,0,0.0,0.0,0.16,1772,3532,86,0,0
mix014_tso.oepc.i , 0,0.0,0.0,0.52,19212,0,0.44,0.02,0.47,50252,0,0.0,0.0,0.16,1756,3532,127,0,0
mix015.oepc.i , 0,0.0,0.01,0.52,18968,0,0.44,0.02,0.47,50528,0,0.0,0.0,0.16,1756,3516,67,0,0
mix015.opt.i , 0,0.0,0.0,0.51,18884,0,0.45,0.02,0.47,50536,0,0.0,0.0,0.16,1748,3516,48,0,0
mix016.oepc.i , 0,0.0,0.0,0.52,19080,0,0.45,0.01,0.47,50536,0,0.0,0.0,0.16,1912,3380,60,0,0
mix016_power.opt_rmo.opt.i , 0,0.0,0.0,0.52,19176,0,0.44,0.02,0.47,50512,0,0.0,0.0,0.16,1920,3628,61,0,0
mix016_pso.opt_tso.opt.i , 0,0.0,0.0,0.52,19140,0,0.44,0.02,0.47,50228,0,0.0,0.0,0.16,1760,3380,41,0,0
mix017.oepc.i , 0,0.01,0.0,0.52,18908,0,0.45,0.01,0.47,50516,0,0.0,0.0,0.16,1776,3524,83,0,0
mix017_power.opt_rmo.opt.i , 0,0.0,0.01,0.51,19168,0,0.44,0.02,0.47,50528,0,0.0,0.0,0.16,1792,3564,76,0,0
mix017_pso.opt_tso.opt.i , 0,0.0,0.0,0.52,19060,0,0.43,0.03,0.47,50528,0,0.0,0.0,0.16,1836,3456,54,0,0
mix018.opt.i , 0,0.0,0.0,0.52,19096,0,0.44,0.02,0.46,50536,0,0.0,0.0,0.16,1776,3336,53,0,0
mix018_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,19052,0,0.46,0.0,0.47,50524,0,0.0,0.0,0.16,1788,3464,82,0,0
mix018_tso.oepc.i , 0,0.0,0.0,0.52,19120,0,0.44,0.02,0.46,49552,0,0.0,0.0,0.16,1780,3700,82,0,0
mix019.opt.i , 0,0.0,0.0,0.51,18896,0,0.44,0.02,0.46,50532,0,0.0,0.0,0.16,1848,3624,40,0,0
mix019_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,18960,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1844,3472,59,0,0
mix019_tso.oepc.i , 0,0.0,0.01,0.52,18896,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1784,3492,59,0,0
mix020.oepc.i , 0,0.0,0.01,0.13,19788,0,0.43,0.03,0.47,50516,0,0.0,0.0,0.16,1772,3464,82,0,0
mix020.opt.i , 0,0.0,0.0,0.52,19104,0,0.44,0.02,0.46,50532,0,0.0,0.0,0.16,1852,3704,53,0,0
mix021.opt.i , 0,0.0,0.0,0.52,18928,0,0.44,0.02,0.47,50528,0,0.0,0.0,0.16,1784,3460,52,0,0
mix021_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,19096,0,0.43,0.03,0.46,49552,0,0.0,0.0,0.16,1680,3524,81,0,0
mix021_tso.oepc.i , 0,0.0,0.01,0.52,19052,0,0.43,0.03,0.47,50532,0,0.0,0.0,0.16,1736,3460,73,0,0
mix022_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.i , 0,0.0,0.0,0.52,18864,0,0.45,0.01,0.47,50268,0,0.0,0.0,0.16,1760,3664,36,0,0
mix022_tso.i , 0,0.0,0.0,0.52,18780,0,0.43,0.03,0.47,50532,0,0.0,0.0,0.16,1764,3476,26,0,0
mix023_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19096,0,0.45,0.01,0.47,49804,0,0.0,0.0,0.16,1780,3524,85,0,0
mix023_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.01,0.52,19092,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1808,3404,78,0,0
mix023_tso.i , 0,0.0,0.0,0.52,19096,0,0.45,0.02,0.47,50260,0,0.0,0.0,0.16,1772,3468,103,0,0
mix024_power.oepc_pso.oepc_rmo.oepc_tso.oepc_tso.opt.i , 0,0.01,0.0,0.52,18804,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1828,3504,66,0,0
mix024_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.01,0.52,18952,0,0.44,0.02,0.47,50228,0,0.0,0.0,0.16,1828,3496,67,0,0
mix025_power.oepc_power.opt_pso.oepc_rmo.oepc_tso.oepc_tso.opt.i , 0,0.0,0.0,0.52,18900,0,0.44,0.02,0.47,50252,0,0.0,0.0,0.16,1800,3496,59,0,0
mix025_pso.opt_rmo.opt.i , 0,0.0,0.0,0.52,19088,0,0.44,0.02,0.46,50516,0,0.0,0.0,0.16,1736,3440,60,0,0
mix026.oepc.i , 0,0.01,0.0,0.13,19912,0,0.44,0.02,0.47,50516,0,0.0,0.0,0.16,1772,3464,82,0,0
mix026_power.opt_tso.opt.i , 0,0.0,0.0,0.51,19056,0,0.44,0.02,0.47,50528,0,0.0,0.0,0.16,1780,3544,83,0,0
mix026_pso.opt_rmo.opt.i , 0,0.0,0.01,0.52,19128,0,0.43,0.03,0.47,50532,0,0.0,0.0,0.16,1752,3528,75,0,0
mix027_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18908,0,0.45,0.02,0.46,49552,0,0.0,0.0,0.16,1784,3388,81,0,0
mix027_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.0,0.52,18892,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1776,3468,74,0,0
mix027_tso.i , 0,0.0,0.0,0.52,19068,0,0.44,0.02,0.47,49800,0,0.0,0.0,0.16,1756,3556,81,0,0
mix028_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,18888,0,0.46,0.0,0.47,50532,0,0.0,0.0,0.16,1768,3376,58,0,0
mix028_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.01,0.51,18892,0,0.44,0.03,0.47,50532,0,0.0,0.0,0.16,1764,3540,58,0,0
mix028_tso.i , 0,0.0,0.01,0.52,18884,0,0.44,0.02,0.47,50528,0,0.0,0.0,0.16,1792,3444,38,0,0
mix029_power.oepc_pso.oepc_rmo.oepc_tso.oepc_tso.opt.i , 0,0.0,0.0,0.52,19012,0,0.45,0.01,0.47,49552,0,0.0,0.0,0.16,1800,3644,62,0,0
mix029_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.01,0.52,18972,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1780,3564,73,0,0
mix030_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19096,0,0.44,0.02,0.47,49808,0,0.0,0.0,0.16,1752,3448,80,0,0
mix030_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.0,0.51,18904,0,0.44,0.03,0.47,50532,0,0.0,0.0,0.16,1772,3568,72,0,0
mix030_tso.i , 0,0.0,0.01,0.52,18908,0,0.44,0.02,0.47,50516,0,0.0,0.0,0.16,1916,3560,50,0,0
mix031.oepc.i , 0,0.0,0.0,0.51,18868,0,0.44,0.02,0.46,50268,0,0.0,0.0,0.16,1908,3428,44,0,0
mix031.opt.i , 0,0.0,0.0,0.52,18904,0,0.44,0.01,0.46,50268,0,0.0,0.0,0.16,1768,3432,35,0,0
mix032.oepc.i , 0,0.0,0.01,0.52,19080,0,0.44,0.02,0.47,50528,0,0.0,0.0,0.16,1764,3520,67,0,0
mix032.opt.i , 0,0.0,0.01,0.52,19088,0,0.45,0.02,0.47,49820,0,0.0,0.0,0.16,1736,3384,48,0,0
mix033.opt.i , 0,0.0,0.0,0.52,19084,0,0.44,0.02,0.47,50272,0,0.0,0.0,0.16,1740,3448,47,0,0
mix033_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19072,0,0.43,0.03,0.46,50532,0,0.0,0.0,0.16,1780,3504,66,0,0
mix033_tso.oepc.i , 0,0.0,0.0,0.52,19072,0,0.43,0.03,0.47,50532,0,0.0,0.0,0.16,1772,3624,66,0,0
mix034_power.oepc_power.opt_pso.oepc_rmo.oepc_rmo.opt_tso.oepc.i , 0,0.0,0.01,0.52,18872,0,0.44,0.02,0.46,50244,0,0.0,0.0,0.16,1744,3608,37,0,0
mix034_pso.opt_tso.opt.i , 0,0.0,0.0,0.52,19028,0,0.43,0.03,0.47,50516,0,0.0,0.0,0.16,1908,3428,28,0,0
mix035.oepc.i , 0,0.0,0.0,0.52,19008,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1740,3444,60,0,0
mix035_power.opt_rmo.opt.i , 0,0.0,0.0,0.52,18968,0,0.46,0.0,0.46,50516,0,0.0,0.0,0.16,1800,3444,61,0,0
mix035_pso.opt_tso.opt.i , 0,0.0,0.0,0.52,19212,0,0.43,0.03,0.47,50244,0,0.0,0.0,0.16,1752,3444,41,0,0
mix036.oepc.i , 0,0.0,0.0,0.13,19912,0,0.44,0.02,0.47,50512,0,0.0,0.0,0.16,1760,3560,83,0,0
mix036_power.opt_rmo.opt.i , 0,0.0,0.01,0.52,18920,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1920,3476,76,0,0
mix036_pso.opt_tso.opt.i , 0,0.0,0.0,0.52,19060,0,0.45,0.01,0.47,50516,0,0.0,0.0,0.16,1784,3524,54,0,0
mix037.opt.i , 0,0.0,0.01,0.52,19100,0,0.45,0.02,0.47,50516,0,0.0,0.0,0.16,1808,3544,53,0,0
mix037_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,18896,0,0.46,0.0,0.47,49804,0,0.0,0.0,0.16,1808,3516,82,0,0
mix037_tso.oepc.i , 0,0.0,0.0,0.52,18896,0,0.44,0.02,0.47,49804,0,0.0,0.0,0.16,1804,3464,82,0,0
mix038.opt.i , 0,0.01,0.0,0.51,19084,0,0.45,0.02,0.47,50260,0,0.0,0.0,0.16,1664,3504,40,0,0
mix038_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19068,0,0.42,0.04,0.47,50532,0,0.0,0.0,0.16,1924,3628,59,0,0
mix038_tso.oepc.i , 0,0.0,0.0,0.52,18884,0,0.46,0.0,0.47,50532,0,0.0,0.0,0.16,1752,3500,59,0,0
mix039.oepc.i , 0,0.0,0.0,0.52,19100,0,0.44,0.02,0.47,50516,0,0.0,0.0,0.16,1776,3464,82,0,0
mix039.opt.i , 0,0.0,0.0,0.52,18912,0,0.45,0.02,0.47,50516,0,0.0,0.0,0.16,1740,3528,53,0,0
mix040.opt.i , 0,0.0,0.0,0.52,18836,0,0.44,0.02,0.47,50516,0,0.0,0.0,0.16,1756,3528,52,0,0
mix040_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,18972,0,0.44,0.02,0.47,50512,0,0.0,0.0,0.16,1804,3452,81,0,0
mix040_tso.oepc.i , 0,0.0,0.0,0.52,18936,0,0.46,0.01,0.47,50532,0,0.0,0.0,0.16,1768,3532,73,0,0
mix041_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19044,0,0.45,0.01,0.47,50260,0,0.0,0.0,0.16,1760,3528,36,0,0
mix041_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.i , 0,0.0,0.0,0.52,18780,0,0.45,0.01,0.47,50260,0,0.0,0.0,0.16,1780,3528,26,0,0
mix042.oepc.i , 0,0.0,0.0,0.52,19056,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1672,3536,59,0,0
mix042.opt.i , 0,0.0,0.01,0.52,19036,0,0.45,0.01,0.47,50512,0,0.0,0.0,0.16,1752,3508,39,0,0
mix043.oepc.i , 0,0.0,0.0,0.52,19124,0,0.45,0.01,0.47,50516,0,0.0,0.0,0.16,1688,3544,82,0,0
mix043.opt.i , 0,0.0,0.0,0.52,18956,0,0.45,0.01,0.46,50528,0,0.0,0.0,0.16,1804,3460,52,0,0
mix044.opt.i , 0,0.0,0.0,0.52,19056,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1764,3456,51,0,0
mix044_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,18972,0,0.44,0.02,0.47,50516,0,0.0,0.0,0.16,1680,3464,81,0,0
mix044_tso.oepc.i , 0,0.0,0.0,0.52,19036,0,0.45,0.02,0.47,50516,0,0.0,0.0,0.16,1808,3704,81,0,0
mix045_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18920,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1732,3440,58,0,0
mix045_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.i , 0,0.0,0.0,0.52,18936,0,0.45,0.01,0.46,50532,0,0.0,0.0,0.16,1732,3536,38,0,0
mix046.oepc.i , 0,0.0,0.0,0.51,18920,0,0.44,0.02,0.47,50516,0,0.0,0.0,0.16,1788,3516,81,0,0
mix046.opt.i , 0,0.0,0.0,0.52,19040,0,0.44,0.02,0.47,50528,0,0.0,0.0,0.16,1748,3388,32,0,0
mix047_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,19040,0,0.43,0.03,0.47,50516,0,0.0,0.0,0.16,1796,3456,80,0,0
mix047_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.i , 0,0.0,0.01,0.52,18880,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1776,3456,50,0,0
mix048_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt-podwr000_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt.i , 0,0.0,0.0,0.52,18808,0,0.44,0.02,0.46,50512,0,0.0,0.0,0.16,1724,3532,37,0,0
mix049_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt-podwr001_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt.i , 0,0.0,0.0,0.13,19548,0,0.43,0.04,0.47,50264,0,0.0,0.0,0.16,1772,3368,60,0,0
mix050.i , 0,0.0,0.0,0.52,18912,0,0.44,0.02,0.47,49556,0,0.0,0.0,0.16,1808,3560,83,0,0
mix051_power.oepc_power.opt_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,19028,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1760,3696,82,0,0
mix051_pso.opt_rmo.opt_tso.opt.i , 0,0.0,0.01,0.52,18944,0,0.44,0.02,0.47,50524,0,0.0,0.0,0.16,1752,3432,53,0,0
mix051_tso.oepc.i , 0,0.0,0.0,0.52,18992,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1852,3460,82,0,0
mix052_power.oepc_power.opt_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18824,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1792,3432,59,0,0
mix052_pso.opt_rmo.opt_tso.opt.i , 0,0.0,0.01,0.51,18916,0,0.46,0.01,0.47,50260,0,0.0,0.0,0.16,1744,3436,40,0,0
mix052_tso.oepc.i , 0,0.0,0.01,0.52,18904,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1748,3372,59,0,0
mix053.opt.i , 0,0.0,0.01,0.52,18868,0,0.43,0.03,0.46,50512,0,0.0,0.0,0.17,1764,3520,52,0,0
mix053_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19024,0,0.45,0.01,0.47,49804,0,0.0,0.0,0.16,1812,3696,81,0,0
mix053_tso.oepc.i , 0,0.0,0.0,0.52,18984,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1768,3564,73,0,0
mix054_power.oepc_power.opt_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.51,18776,0,0.45,0.02,0.47,50268,0,0.0,0.0,0.16,1724,3420,36,0,0
mix054_pso.opt_rmo.opt_tso.oepc_tso.opt.i , 0,0.0,0.01,0.52,19008,0,0.45,0.02,0.47,50268,0,0.0,0.0,0.16,1728,3660,26,0,0
mix055.opt.i , 0,0.0,0.0,0.52,19104,0,0.43,0.03,0.47,50528,0,0.0,0.0,0.16,1772,3456,51,0,0
mix055_power.oepc_pso.oepc_rmo.oepc.i , 0,0.01,0.0,0.52,18900,0,0.44,0.03,0.47,49804,0,0.0,0.0,0.16,1780,3632,81,0,0
mix055_tso.oepc.i , 0,0.0,0.01,0.14,19900,0,0.44,0.02,0.47,50260,0,0.0,0.0,0.16,1764,3444,81,0,0
mix056_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,18920,0,0.45,0.02,0.47,50528,0,0.0,0.0,0.16,1772,3436,58,0,0
mix056_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.i , 0,0.0,0.0,0.52,18856,0,0.43,0.03,0.47,50524,0,0.0,0.0,0.16,1748,3500,38,0,0
mix057_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19088,0,0.44,0.02,0.47,50524,0,0.0,0.0,0.16,1824,3448,80,0,0
mix057_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.i , 0,0.0,0.01,0.51,18900,0,0.45,0.01,0.46,50532,0,0.0,0.0,0.16,1788,3380,50,0,0
nondet-array-1.i , 0,0.0,0.01,0.13,19020,0,0.43,0.02,0.57,49812,0,0.0,0.0,0.16,1592,3292,0,0,0
nondet-array-2.i , 0,0.0,0.01,0.13,19068,0,0.43,0.02,0.57,49812,0,0.0,0.0,0.16,1612,3292,0,0,0
nondet-loop-bound-1.i , 0,0.0,0.01,0.13,19124,0,0.42,0.02,0.57,50260,0,0.0,0.0,0.16,1588,3596,3,0,0
nondet-loop-bound-2.i , 0,0.01,0.0,0.13,19116,0,0.42,0.02,0.57,50260,0,0.0,0.0,0.16,1572,3424,3,0,0
nondet-loop-bound-variant-1.i , 0,0.0,0.0,0.13,19036,0,0.43,0.02,0.57,50256,0,0.0,0.0,0.16,1572,3600,3,0,0
nondet-loop-bound-variant-2.i , 0,0.01,0.0,0.13,19120,0,0.42,0.03,0.58,50256,0,0.0,0.0,0.16,1612,3540,3,0,0
peterson-b.i , 1,0.0,0.0,0.52,19060,4,0.45,0.01,0.46,50508,8,0.0,0.0,0.04,1736,3400,12,0,0
peterson.i , 0,0.0,0.0,0.01,18780,0,0.42,0.04,0.46,49820,0,0.0,0.0,0.04,1728,3408,38,0,0
pthread-demo-datarace-1.i , 0,0.01,0.0,0.01,18716,0,0.45,0.01,0.47,50252,0,0.0,0.0,0.04,1744,3388,145,0,0
pthread-demo-datarace-2.i , 1,0.0,0.0,0.64,20352,4,0.45,0.02,0.6,50252,8,0.0,0.0,0.04,1728,3628,27,0,0
pthread-demo-datarace-3.i , 0,0.0,0.0,0.01,18852,2,0.44,0.03,0.61,50252,0,0.0,0.0,0.16,1816,3580,184,0,0
pthread-finding-k-matches.i , 0,0.01,0.0,0.01,18520,0,0.46,0.01,0.59,49828,0,0.0,0.0,0.04,1664,11000,1006,0,0
pthread-numerical-integration.i , 0,0.0,0.01,0.13,19152,0,0.44,0.01,0.58,50252,0,0.0,0.0,0.16,1700,3292,4,0,0
queue.i , 0,0.0,0.01,0.01,18748,0,0.45,0.02,0.47,50252,0,0.0,0.0,0.04,1736,3484,147,0,0
queue_longer.i , 0,0.0,0.0,0.01,19064,0,0.45,0.02,0.48,50236,0,0.0,0.0,0.04,1740,3676,2427,0,0
queue_longest.i , 0,0.0,0.01,0.01,18996,0,0.46,0.02,0.49,50236,0,0.0,0.0,0.04,1748,4024,5301,734,2
queue_ok.i , 0,0.01,0.0,0.01,18880,0,0.44,0.03,0.47,50276,0,0.0,0.0,0.04,1784,3460,17,0,0
queue_ok_longer.i , 0,0.0,0.0,0.01,18796,0,0.45,0.02,0.47,50252,0,0.0,0.0,0.04,1756,3408,17,0,0
queue_ok_longest.i , 0,0.01,0.0,0.01,18772,0,0.46,0.01,0.47,50256,0,0.0,0.0,0.04,1756,3404,17,0,0
qw2004-1.i , 0,0.0,0.0,0.52,18824,0,0.45,0.01,0.46,50516,0,0.0,0.0,0.04,1588,3444,14,0,0
qw2004-2.i , 0,0.0,0.0,0.51,18924,0,0.43,0.03,0.47,49812,0,0.0,0.0,0.04,1716,3392,19,0,0
qw2004-2b.i , 0,0.0,0.0,0.52,18980,0,0.44,0.02,0.46,50236,0,0.0,0.0,0.04,1636,3392,21,0,0
qw2004_variant.i , 0,0.0,0.01,1.52,19056,0,0.45,0.02,0.47,50516,0,0.0,0.0,0.04,1972,3648,50,0,0
reorder_2-2.i , 1,0.0,0.0,0.52,19348,4,0.43,0.03,0.47,50528,6,0.0,0.0,0.04,1764,3428,29,0,0
reorder_2.i , 1,0.01,0.0,0.51,19212,4,0.44,0.02,0.47,50524,6,0.0,0.0,0.04,1736,3520,29,0,0
reorder_5-2.i , 2,0.0,0.01,0.52,19352,4,0.44,0.02,0.47,50524,8,0.0,0.0,0.04,1756,3540,35,0,0
reorder_5.i , 2,0.0,0.0,0.52,19276,4,0.46,0.01,0.47,50236,8,0.0,0.0,0.04,1756,3544,35,0,0
reorder_c11_bad-10.i , 2,0.0,0.01,0.52,19224,2,0.46,0.0,0.47,50504,2,0.0,0.0,0.04,1840,3520,110,0,0
reorder_c11_bad-20.i , 2,0.0,0.0,0.52,19392,2,0.44,0.03,0.47,50508,2,0.0,0.0,0.04,1928,3736,210,0,0
reorder_c11_bad-30.i , 2,0.0,0.0,0.52,19344,2,0.45,0.03,0.48,50504,2,0.0,0.0,0.04,1900,4132,310,0,0
reorder_c11_bad-40.i , 2,0.0,0.01,0.52,19624,2,0.47,0.01,0.48,50508,2,0.0,0.0,0.04,2076,4188,410,0,0
reorder_c11_bad-50.i , 2,0.01,0.01,0.52,19568,2,0.47,0.02,0.49,50504,2,0.0,0.0,0.04,2156,4360,510,0,0
reorder_c11_good-10.i , 0,0.0,0.0,0.01,18900,0,0.44,0.03,0.47,50252,0,0.0,0.0,0.04,1804,3452,88,0,0
reorder_c11_good-20.i , 0,0.0,0.0,0.01,18944,0,0.44,0.04,0.48,50248,0,0.0,0.0,0.04,1964,3736,168,0,0
