benchmark,tsan-races,tsan-usertime,tsan-systime,tsan-time,tsan-maxmem,helgrind-races,helgrind-usertime,helgrind-systime,helgrind-time,helgrind-maxmem,vamos-races,vamos-usertime,vamos-systime,vamos-time,vamos-maxmem,vamos-eventsnum,vamos-dropped,vamos-holes
fib_safe-12-racy.i , 2,0.0,0.0,0.14,23940,2,0.23,0.01,0.25,61680,2,0.0,0.0,0.04,1804,265,0,0
fib_safe-12-racy.i , 2,0.0,0.0,0.14,22920,2,0.23,0.02,0.25,61684,2,0.0,0.0,0.04,1804,265,0,0
fib_safe-12-racy.i , 2,0.0,0.0,0.14,22856,2,0.24,0.01,0.25,61684,2,0.0,0.0,0.04,1824,265,0,0
fib_safe-12-racy.i , 2,0.0,0.0,0.14,23552,2,0.25,0.0,0.25,61684,2,0.0,0.0,0.04,1824,265,0,0
fib_safe-12-racy.i , 2,0.0,0.0,0.14,24316,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1764,265,0,0
fib_safe-12-racy.i , 2,0.0,0.0,0.14,23476,2,0.23,0.02,0.25,61684,2,0.0,0.0,0.04,1824,265,0,0
fib_safe-12-racy.i , 2,0.0,0.0,0.14,23324,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1840,265,0,0
fib_safe-12.i , 0,0.0,0.01,1.14,22888,0,0.23,0.01,0.25,62136,2,0.0,0.0,0.04,1944,265,0,0
fib_safe-12.i , 0,0.0,0.0,0.14,22384,0,0.24,0.01,0.25,62136,2,0.0,0.0,0.04,3856,265,0,0
fib_safe-12.i , 0,0.0,0.01,1.14,22460,0,0.24,0.01,0.25,62136,2,0.0,0.0,0.04,1804,265,0,0
fib_safe-12.i , 0,0.0,0.01,1.14,22508,0,0.23,0.01,0.25,62140,1,0.0,0.0,0.04,1712,215,0,0
fib_safe-12.i , 0,0.0,0.0,1.14,22780,0,0.23,0.01,0.25,62136,2,0.0,0.0,0.04,3884,265,0,0
fib_safe-12.i , 0,0.0,0.0,1.14,22768,0,0.23,0.02,0.25,62136,2,0.0,0.0,0.04,3876,265,0,0
fib_safe-12.i , 0,0.0,0.01,1.14,23336,0,0.23,0.01,0.25,62136,2,0.0,0.0,0.04,1792,265,0,0
fib_safe-12.i , 0,0.0,0.0,1.14,21960,0,0.23,0.01,0.25,62136,13,0.0,0.0,0.04,1808,265,0,0
fib_safe-12.i , 0,0.0,0.0,0.14,23020,0,0.23,0.01,0.25,62140,2,0.0,0.0,0.04,3828,265,0,0
fib_safe-12.i , 0,0.0,0.0,0.14,22384,0,0.24,0.01,0.25,62136,2,0.0,0.0,0.04,1956,265,0,0
fib_safe-5-racy.i , 2,0.0,0.0,0.14,22984,2,0.24,0.0,0.25,61692,2,0.0,0.0,0.04,1792,125,0,0
fib_safe-5-racy.i , 2,0.0,0.0,0.14,22472,2,0.23,0.01,0.25,61692,1,0.0,0.0,0.04,1716,103,0,0
fib_safe-5-racy.i , 2,0.0,0.0,0.14,23208,2,0.23,0.01,0.25,61692,2,0.0,0.0,0.04,1808,125,0,0
fib_safe-5-racy.i , 2,0.0,0.0,0.14,24184,2,0.23,0.01,0.25,61692,1,0.0,0.0,0.04,1824,125,0,0
fib_safe-5-racy.i , 2,0.0,0.0,0.14,23536,2,0.23,0.01,0.25,61692,2,0.0,0.0,0.04,1788,125,0,0
fib_safe-5-racy.i , 2,0.0,0.0,0.14,23012,2,0.23,0.01,0.25,61692,1,0.0,0.0,0.04,1824,125,0,0
fib_safe-5-racy.i , 2,0.0,0.0,0.14,25292,2,0.24,0.01,0.25,61696,2,0.0,0.0,0.04,1812,125,0,0
fib_safe-5-racy.i , 2,0.0,0.0,0.14,23264,2,0.23,0.01,0.25,61696,2,0.0,0.0,0.04,1864,125,0,0
fib_safe-5-racy.i , 2,0.0,0.0,0.14,22768,2,0.24,0.01,0.25,61692,1,0.0,0.0,0.04,1696,125,0,0
fib_safe-5-racy.i , 2,0.0,0.0,0.14,25312,2,0.23,0.01,0.25,61688,2,0.0,0.0,0.04,1776,125,0,0
fib_safe-5.i , 0,0.0,0.0,0.14,23476,0,0.23,0.01,0.25,62116,2,0.0,0.0,0.04,1840,125,0,0
fib_safe-5.i , 0,0.0,0.0,0.14,22120,0,0.23,0.01,0.25,62120,2,0.0,0.0,0.04,1868,125,0,0
fib_safe-5.i , 0,0.0,0.0,0.14,23064,0,0.23,0.02,0.25,62120,2,0.0,0.0,0.04,3836,125,0,0
fib_safe-5.i , 0,0.0,0.0,0.14,22312,0,0.23,0.01,0.25,62120,2,0.0,0.0,0.04,1812,125,0,0
fib_safe-5.i , 0,0.0,0.0,0.14,22288,0,0.22,0.02,0.25,62120,2,0.0,0.0,0.04,1844,125,0,0
fib_safe-5.i , 0,0.0,0.0,0.14,23628,0,0.24,0.01,0.25,62120,2,0.0,0.0,0.04,1808,125,0,0
fib_safe-5.i , 0,0.0,0.0,0.14,22564,0,0.23,0.01,0.25,62640,2,0.0,0.0,0.04,1680,125,0,0
fib_safe-5.i , 0,0.0,0.0,0.14,22864,0,0.23,0.01,0.25,62120,2,0.0,0.0,0.04,1820,125,0,0
fib_safe-5.i , 0,0.0,0.0,0.14,23180,0,0.24,0.0,0.25,62120,2,0.0,0.0,0.04,1784,125,0,0
fib_safe-5.i , 0,0.0,0.0,0.14,22172,0,0.24,0.0,0.25,62120,2,0.0,0.0,0.04,3848,125,0,0
fib_safe-6-racy.i , 2,0.0,0.0,0.14,23764,2,0.22,0.02,0.25,61692,7,0.0,0.0,0.04,1836,145,0,0
fib_safe-6-racy.i , 2,0.0,0.0,0.14,22984,2,0.23,0.01,0.25,61692,2,0.0,0.0,0.04,1780,145,0,0
fib_safe-6-racy.i , 2,0.0,0.0,0.14,23992,2,0.23,0.01,0.25,62672,1,0.0,0.0,0.04,1840,119,0,0
fib_safe-6-racy.i , 2,0.0,0.0,0.14,25248,2,0.23,0.01,0.25,61696,2,0.0,0.0,0.04,1824,145,0,0
fib_safe-6-racy.i , 2,0.0,0.0,0.14,22988,2,0.22,0.02,0.25,61692,2,0.0,0.0,0.04,1840,145,0,0
