0,4,32499603,2840451,7159549,899939,1.7047231980250217
10,4,36086508,2382200,7617800,767123,1.7075362189789303
20,4,20835106,2592380,7407620,809409,1.7078946380061097
30,4,16174656,3509833,6490167,987070,1.7077376039815135
40,4,1242939,3900533,6099467,1252697,2.0078356320154853
50,4,0,4548189,5451811,1395249,2.0083019589656033
60,4,5200,5342967,4657033,1508594,2.0081288150395267
70,4,15700,6138478,3861522,1500464,2.3086065569659695
80,4,0,8962622,1037378,635905,2.608781851013191
90,4,0,8160068,1839932,1070171,2.6085311920032836
100,4,0,9919006,80994,54370,2.908868099038955
200,4,0,9989931,10069,214,4.711025279015303
0,8,55005316,4224009,5775991,975347,1.7045922999968752
10,8,41457599,4122158,5877842,912184,1.707506212987937
20,8,17244408,3159131,6840869,874018,1.70782454602886
30,8,3591768,3085864,6914136,964995,1.7076649139635265
40,8,96967,4548354,5451646,1333606,2.0081228649942204
50,8,1818183,5309416,4690584,1146852,2.0081947679864243
60,8,0,6535646,3464354,1364856,2.308106023003347
70,8,233118,7854387,2145613,984953,2.3081553839729168
80,8,0,9845862,154138,88830,2.6084816160146147
90,8,0,9971499,28501,12231,2.608691361034289
100,8,0,9989317,10683,59,2.9089057249948382
200,8,0,9990086,9914,123,4.7107619140297174
0,16,50527612,4611740,5388260,935841,1.7045369330444373
10,16,14472700,4003798,5996202,898091,1.7078165759448893
20,16,40226078,4675922,5324078,885011,2.0082248329999857
30,16,0,3127026,6872974,1048445,1.7077464580070227
40,16,1296853,5403099,4596901,1197571,2.0082265230012126
50,16,758589,5560172,4439828,1193717,2.0082437000237405
60,16,0,6492197,3507803,1371438,2.007933398010209
70,16,0,8664228,1335772,663605,2.3085796540253796
80,16,0,9988342,11658,1786,2.6086724369670264
90,16,0,9993956,6044,21,2.6085477939923294
100,16,0,9994883,5117,66,2.9088416129816324
200,16,0,9990060,9940,117,4.710882285027765
0,32,58929063,4666625,5333375,962511,1.704552402952686
10,32,32794637,4281266,5718734,888177,1.7072431999840774
20,32,9677763,3586590,6413410,907387,1.707377118000295
30,32,389137,4215795,5784205,1006598,1.7074613500153646
40,32,0,5651723,4348277,1313115,2.007914752000943
50,32,0,5898789,4101211,1295199,2.008219249022659
60,32,0,6917619,3082381,1216576,2.008084184024483
70,32,0,9769607,230393,114553,2.308419927023351
80,32,0,9994652,5348,64,2.6084587540244684
90,32,0,9994020,5980,27,2.6086381140048616
100,32,0,9994523,5477,60,2.908938186999876
200,32,0,9991845,8155,65,4.71092502301326
0,64,41830658,4792110,5207890,972204,1.7045385710080154
10,64,27380685,4394471,5605529,888019,1.7072181479888968
20,64,661845,2593559,7406441,815371,1.4070126580190845
30,64,424488,4231310,5768690,953201,1.7075410790275782
40,64,0,5616691,4383309,1203456,2.008157338015735
50,64,0,6233095,3766905,1120591,2.0082538609858602
60,64,0,7278377,2721623,1134905,2.3084976190002635
70,64,0,9430469,569531,307077,2.3084889729507267
80,64,0,9995528,4472,64,2.608281990978867
90,64,0,9992932,7068,47,2.6085743849980645
100,64,0,9993581,6419,48,2.9092092129867524
200,64,0,9995265,4735,56,4.710951297020074
0,128,44656936,3463283,6536717,928468,1.7047620950033888
10,128,15510634,4292823,5707177,932927,1.7077049140352756
20,128,149912,3602533,6397467,917158,1.707904199953191
30,128,0,3817357,6182643,1142009,1.7077611069544218
40,128,0,5584273,4415727,1392052,2.007866867003031
50,128,0,5910636,4089364,1357929,2.0076098869903944
60,128,0,7333174,2666826,1182398,2.3081882249680348
70,128,0,9850570,149430,86078,2.3085344759747386
80,128,0,9996163,3837,44,2.6082218409865163
90,128,0,9997801,2199,6,2.6084440099657513
100,128,0,9993097,6903,28,2.908816882991232
200,128,0,9998297,1703,50,4.7107289640116505
0,256,31594385,4362531,5637469,989108,1.7046897980035283
10,256,18596869,4508589,5491411,953854,1.7074243589886464
20,256,160558,2862315,7137685,899500,1.4069331290083937
30,256,0,3834999,6165001,1072162,1.7075178580125794
40,256,0,6006553,3993447,1275086,2.0081726839998737
50,256,0,6544861,3455139,1209092,2.0081925870035775
60,256,0,8272148,1727852,833566,2.3083919109776616
70,256,0,9785334,214666,117059,2.3081542429863475
80,256,0,9996985,3015,31,2.6085970520507544
90,256,0,9996977,3023,53,2.6084454620140605
100,256,0,9997465,2535,33,2.908842365955934
200,256,0,9999469,531,14,4.71094155695755
0,512,30996992,4058905,5941095,985923,1.7047356569673866
10,512,16341953,4219128,5780872,968252,1.707536886970047
20,512,4829,2502121,7497879,903873,1.4070759440073743
30,512,1482,4023393,5976607,1142809,1.7072581190150231
40,512,0,5579721,4420279,1347651,2.0077382719609886
50,512,0,6162012,3837988,1298352,2.007779181993101
60,512,0,8707992,1292008,647015,2.308185493981
70,512,0,9709353,290647,163372,2.3082330399774946
80,512,0,9998808,1192,7,2.6086830439744517
90,512,0,9999684,316,2,2.6086955889477395
100,512,0,9999740,260,5,2.9088380149914883
200,512,0,10000000,0,0,4.711035431013443
0,1024,31590482,4197980,5802020,983552,1.704623726021964
10,1024,29250100,4099868,5900132,976332,1.7076840259833261
20,1024,30429,3307480,6692520,939792,1.4074187430087477
30,1024,0,3622599,6377401,1012204,1.7076331119751558
40,1024,0,6122566,3877434,1353319,2.0078790450352244
50,1024,0,6281762,3718238,1233112,2.007963004987687
60,1024,0,6793749,3206251,1309165,2.308300851029344
70,1024,0,8811129,1188871,635860,2.308291202003602
80,1024,0,10000000,0,0,2.608505378011614
90,1024,0,10000000,0,0,2.6083261219901033
100,1024,0,10000000,0,0,2.9088003410142846
200,1024,0,10000000,0,0,4.710908900015056
0,4,41114423,2931826,7068174,934083,1.7046372789773159
10,4,1991307,1382304,8617696,550372,1.406970878946595
20,4,11555601,2846595,7153405,861781,1.7073101819842122
30,4,911045,3095481,6904519,979620,1.7075381319737062
40,4,0,4407184,5592816,1349829,2.0081071539898403
50,4,9831,4427033,5572967,1374288,2.0081513140466996
60,4,0,5525047,4474953,1412703,2.3082165980013087
70,4,260742,6318648,3681352,1332130,2.3080367509974167
80,4,0,7410335,2589665,1378454,2.608306123991497
90,4,0,8245579,1754421,981981,2.6082263180287555
100,4,0,9975393,24607,13229,2.909039874037262
200,4,0,9987477,12523,216,4.710784552968107
0,8,61084511,3313727,6686273,929324,1.7045782299828716
10,8,6125389,1703545,8296455,675550,1.4074036959791556
20,8,3567433,2793005,7206995,824153,1.4072353430092335
30,8,4536900,3735559,6264441,957226,1.7076805970282294
40,8,5160266,5698819,4301181,1070634,2.0077769170165993
50,8,1585433,5582529,4417471,1210562,2.0076956920092925
60,8,704712,6465203,3534797,1073399,2.308266400010325
70,8,271296,7285396,2714604,956663,2.308362854004372
80,8,0,9657562,342438,227612,2.6084380650427192
90,8,1449,9938684,61316,33344,2.60867360397242
100,8,0,9993260,6740,40,2.9090078480076045
200,8,0,9990506,9494,205,4.71083717799047
0,16,47478962,3499067,6500933,871286,1.7046650580014102
10,16,58162253,5403275,4596725,750901,2.008068645023741
20,16,8790504,3750305,6249695,867500,1.7073992519872263
30,16,20975392,5171409,4828591,950606,2.0081148390308954
40,16,1142206,5575807,4424193,1254651,2.008072627999354
50,16,0,5227287,4772713,1437014,2.0080959539627656
60,16,0,6962012,3037988,1121808,2.3083931950386614
70,16,0,9206525,793475,383054,2.3079625020036474
80,16,0,9989498,10502,2847,2.6083985280129127
90,16,0,9992538,7462,228,2.608338965976145
100,16,0,9994366,5634,40,2.9087585660163313
200,16,0,9991715,8285,85,4.710871853982098
0,32,22345004,2835808,7164192,804582,1.404216598952189
10,32,31840857,3544775,6455225,899578,1.707500718999654
20,32,5896550,3703285,6296715,940319,1.7075647609890439
30,32,2601196,4371109,5628891,1048033,1.7076065830187872
40,32,386582,5665328,4334672,1130355,2.0077139500062913
50,32,767312,6196507,3803493,1058702,2.0077939379843883
60,32,46614,6936362,3063638,1161202,2.308045253972523
70,32,0,9190439,809561,324182,2.30797302396968
80,32,0,9985867,14133,3540,2.6085388209903613
90,32,0,9992346,7654,634,2.6084016539971344
100,32,0,9992687,7313,32,2.908912021026481
200,32,0,9992297,7703,66,4.710869253030978
0,64,41966347,4565478,5434522,862953,1.7045881410012953
10,64,17096480,3869761,6130239,870070,1.707269456004724
20,64,13875971,5449657,4550343,898131,1.7077247750130482
30,64,533142,3610424,6389576,969700,1.7075187540031038
40,64,0,5160449,4839551,1216762,2.0080841509625316
50,64,0,6040271,3959729,1134393,2.008044994028751
60,64,0,7302028,2697972,1122069,2.00754560099449
70,64,0,9986220,13780,6200,2.308227724977769
80,64,0,9995363,4637,30,2.6085372630041093
90,64,0,9995588,4412,19,2.6083332059788518
100,64,0,9993312,6688,26,2.9091019349871203
200,64,0,9994060,5940,57,4.710774353006855
0,128,45266650,4895199,5104801,936495,1.7044818209833466
10,128,16003374,4617157,5382843,940834,1.7073587449849583
20,128,899156,3579139,6420861,956488,1.7077589159598574
30,128,68608,4038717,5961283,1176659,1.7077161829802208
40,128,0,5185117,4814883,1433436,2.0079732840531506
50,128,0,6755888,3244112,1121670,2.008013444021344
60,128,0,6928903,3071097,1300585,2.007838860969059
