c-native,6.315218
c-drio,5.586022
c-c-empty,5.59799,0
c-c-empty,5.597976,0
c-c-dm,5.668164,0
c-c-dm,5.665378,0
c-c-dm-stats,1035,21439,17526,22474,0,17526,0,5.73
c-c-dm-errs-good,5.656155,0
c-c-dm-errs-bad,5.670628,0
c-c-dm-errs-stats,22762,0,17238,435,22327,17238,4,5.73
c-native,6.311366
c-drio,5.595822
c-c-empty,5.598995,0
c-c-empty,5.604103,0
c-c-dm,5.66573,0
c-c-dm,5.675631,0
c-c-dm-stats,22210,0,17790,474,21736,17790,0,5.73
c-c-dm-errs-good,5.768288,0
c-c-dm-errs-bad,5.66454,0
c-c-dm-errs-stats,1452,22843,15705,24295,0,15705,4,5.82
c-native,6.312503
c-drio,5.61169
c-c-empty,5.595394,0
c-c-empty,5.600686,0
c-c-dm,5.68183,0
c-c-dm,5.678124,0
c-c-dm-stats,6147,10029,23824,10715,5461,23824,0,5.75
c-c-dm-errs-good,5.663188,0
c-c-dm-errs-bad,5.720462,0
c-c-dm-errs-stats,18486,3967,17547,5294,17159,17547,4,5.77
c-native,6.310297
c-drio,5.636515
c-c-empty,5.713266,0
c-c-empty,5.594206,0
c-c-dm,5.654401,0
c-c-dm,5.715463,0
c-c-dm-stats,20751,0,19249,1004,19747,19249,0,5.77
c-c-dm-errs-good,5.677372,0
c-c-dm-errs-bad,5.666395,0
c-c-dm-errs-stats,940,21258,17802,22198,0,17802,5,5.74
c-native,6.313577
c-drio,5.595144
c-c-empty,5.58792,0
c-c-empty,5.598915,0
c-c-dm,5.663575,0
c-c-dm,5.669057,0
c-c-dm-stats,20519,0,19481,1396,19123,19481,0,5.72
c-c-dm-errs-good,5.663404,0
c-c-dm-errs-bad,5.656383,0
c-c-dm-errs-stats,456,15911,23633,15965,402,23633,7,5.71
c-native,6.311811
c-drio,5.592482
c-c-empty,5.595973,0
c-c-empty,5.59382,0
c-c-dm,5.659324,0
c-c-dm,5.679678,0
c-c-dm-stats,24758,0,15242,125,24633,15242,0,5.74
c-c-dm-errs-good,5.730517,0
c-c-dm-errs-bad,5.678253,0
c-c-dm-errs-stats,5341,14790,19869,15918,4213,19869,5,5.78
c-native,6.315086
c-drio,5.591959
c-c-empty,5.596145,0
c-c-empty,5.593693,0
c-c-dm,5.655016,0
c-c-dm,5.68721,0
c-c-dm-stats,20542,0,19458,1393,19149,19458,0,5.74
c-c-dm-errs-good,5.675198,0
c-c-dm-errs-bad,5.695771,0
c-c-dm-errs-stats,1928,17346,20726,18358,916,20726,5,5.76
c-native,6.314645
c-drio,5.596076
c-c-empty,5.593779,0
c-c-empty,5.58963,0
c-c-dm,5.705412,0
c-c-dm,5.818229,0
c-c-dm-stats,22475,0,17525,1401,21074,17525,0,5.87
c-c-dm-errs-good,5.659123,0
c-c-dm-errs-bad,5.671203,0
c-c-dm-errs-stats,17841,336,21823,1258,16919,21823,5,5.72
c-native,6.308695
c-drio,5.594056
c-c-empty,5.591204,0
c-c-empty,5.591774,0
c-c-dm,5.67247,0
c-c-dm,5.66509,0
c-c-dm-stats,1324,19218,19458,20542,0,19458,0,5.73
c-c-dm-errs-good,5.689221,0
c-c-dm-errs-bad,5.663423,0
c-c-dm-errs-stats,1175,19367,19458,20542,0,19458,5,5.74
c-native,6.315593
c-drio,5.600685
c-c-empty,5.595217,0
c-c-empty,5.588813,0
c-c-dm,5.687907,0
c-c-dm,5.721037,0
c-c-dm-stats,18046,0,21954,690,17356,21954,0,5.78
c-c-dm-errs-good,5.67874,0
c-c-dm-errs-bad,5.672831,0
c-c-dm-errs-stats,1397,19122,19481,20519,0,19481,6,5.75
