c-native,1.583306
c-drio,1.408753
c-c-empty,1.409826,0
c-c-empty,1.407007,0
c-c-dm,1.443325,0
c-c-dm,1.449081,0
c-c-dm-stats,0,0,20000,0,0,20000,0,1.5
c-c-dm-errs-good,1.466454,0
c-c-dm-errs-bad,1.441083,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,10,1.52
c-native,1.582544
c-drio,1.408777
c-c-empty,1.466635,0
c-c-empty,1.492492,0
c-c-dm,1.43976,0
c-c-dm,1.488757,0
c-c-dm-stats,0,0,20000,0,0,20000,0,1.54
c-c-dm-errs-good,1.442435,0
c-c-dm-errs-bad,1.451584,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,10,1.5
c-native,1.593134
c-drio,1.408783
c-c-empty,1.413578,0
c-c-empty,1.424698,0
c-c-dm,1.441409,0
c-c-dm,1.441899,0
c-c-dm-stats,0,0,20000,0,0,20000,0,1.5
c-c-dm-errs-good,1.462559,0
c-c-dm-errs-bad,1.445757,0
c-c-dm-errs-stats,0,609,19391,609,0,19391,10,1.53
c-native,1.582001
c-drio,1.407579
c-c-empty,1.411379,0
c-c-empty,1.415938,0
c-c-dm,1.459167,0
c-c-dm,1.440328,0
c-c-dm-stats,0,0,20000,0,0,20000,0,1.5
c-c-dm-errs-good,1.440392,0
c-c-dm-errs-bad,1.441655,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,10,1.49
c-native,1.58269
c-drio,1.40732
c-c-empty,1.410667,0
c-c-empty,1.409102,0
c-c-dm,1.446998,0
c-c-dm,1.440321,0
c-c-dm-stats,0,0,20000,0,0,20000,0,1.5
c-c-dm-errs-good,1.453813,0
c-c-dm-errs-bad,1.46796,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,10,1.53
c-native,1.582439
c-drio,1.41952
c-c-empty,1.411346,0
c-c-empty,1.416172,0
c-c-dm,1.450825,0
c-c-dm,1.440138,0
c-c-dm-stats,0,0,20000,0,0,20000,0,1.5
c-c-dm-errs-good,1.444744,0
c-c-dm-errs-bad,1.44316,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,10,1.5
c-native,1.582326
c-drio,1.409923
c-c-empty,1.407387,0
c-c-empty,1.419395,0
c-c-dm,1.439827,0
c-c-dm,1.447852,0
c-c-dm-stats,0,0,20000,0,0,20000,0,1.5
c-c-dm-errs-good,1.473759,0
c-c-dm-errs-bad,1.490327,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,10,1.54
c-native,1.58762
c-drio,1.409148
c-c-empty,1.417431,0
c-c-empty,1.407054,0
c-c-dm,1.472749,0
c-c-dm,1.439409,0
c-c-dm-stats,0,0,20000,0,0,20000,0,1.53
c-c-dm-errs-good,1.462834,0
c-c-dm-errs-bad,1.478407,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,10,1.54
c-native,1.582316
c-drio,1.409056
c-c-empty,1.408381,0
c-c-empty,1.408742,0
c-c-dm,1.491386,0
c-c-dm,1.445903,0
c-c-dm-stats,0,0,20000,0,0,20000,0,1.54
c-c-dm-errs-good,1.459325,0
c-c-dm-errs-bad,1.474242,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,10,1.54
c-native,1.581939
c-drio,1.408402
c-c-empty,1.416907,0
c-c-empty,1.413569,0
c-c-dm,1.44149,0
c-c-dm,1.448259,0
c-c-dm-stats,0,0,20000,0,0,20000,0,1.5
c-c-dm-errs-good,1.439702,0
c-c-dm-errs-bad,1.439153,0
c-c-dm-errs-stats,0,0,20000,0,0,20000,10,1.49
