buff_size,errors_percentage,num_primes
128,0.3,10000
128,0.3,10000
128,0.4,10000
128,0.8,10000
128,0.4,10000
128,0.3,10000
128,0.3,10000
128,0.5,10000
128,0.3,10000
128,0.3,10000
128,0.2,20000
128,0.2,20000
128,0.2,20000
128,0.2,20000
128,0.2,20000
128,0.2,20000
128,0.35,20000
128,0.15,20000
128,0.2,20000
128,0.2,20000
128,0.16666666666666666,30000
128,0.16666666666666666,30000
128,0.16666666666666666,30000
128,0.2,30000
128,0.16666666666666666,30000
128,0.16666666666666666,30000
128,0.06666666666666667,30000
128,0.16666666666666666,30000
128,0.16666666666666666,30000
128,0.16666666666666666,30000
128,0.1,40000
128,0.1,40000
128,0.1,40000
128,0.125,40000
128,0.175,40000
128,0.125,40000
128,0.125,40000
128,0.125,40000
128,0.125,40000
128,0.15,40000
512,1.0,10000
512,1.0,10000
512,0.8,10000
512,1.0,10000
512,1.0,10000
512,1.0,10000
512,1.0,10000
512,1.0,10000
512,1.0,10000
512,1.0,10000
512,0.5,20000
512,0.5,20000
512,0.5,20000
512,0.5,20000
512,0.5,20000
512,0.5,20000
512,0.5,20000
512,0.5,20000
512,0.5,20000
512,0.5,20000
512,0.3333333333333333,30000
512,0.3333333333333333,30000
512,0.3333333333333333,30000
512,0.3333333333333333,30000
512,0.3333333333333333,30000
512,0.3333333333333333,30000
512,0.3333333333333333,30000
512,0.3333333333333333,30000
512,0.3,30000
512,0.3333333333333333,30000
512,0.25,40000
512,0.25,40000
512,0.25,40000
512,0.25,40000
512,0.22499999999999998,40000
512,0.25,40000
512,0.25,40000
512,0.25,40000
512,0.25,40000
512,0.25,40000
1024,1.0,10000
1024,1.0,10000
1024,1.0,10000
1024,1.0,10000
1024,1.0,10000
1024,1.0,10000
1024,1.0,10000
1024,1.0,10000
1024,1.0,10000
1024,1.0,10000
1024,0.5,20000
1024,0.5,20000
1024,0.5,20000
1024,0.5,20000
1024,0.5,20000
1024,0.5,20000
1024,0.5,20000
1024,0.5,20000
1024,0.5,20000
1024,0.5,20000
1024,0.3333333333333333,30000
1024,0.3333333333333333,30000
1024,0.3333333333333333,30000
1024,0.3333333333333333,30000
1024,0.3333333333333333,30000
1024,0.3333333333333333,30000
1024,0.3333333333333333,30000
1024,0.3333333333333333,30000
1024,0.3333333333333333,30000
1024,0.3333333333333333,30000
1024,0.25,40000
1024,0.25,40000
1024,0.25,40000
1024,0.25,40000
1024,0.25,40000
1024,0.25,40000
1024,0.25,40000
1024,0.25,40000
1024,0.25,40000
1024,0.25,40000
2048,1.0,10000
2048,1.0,10000
2048,1.0,10000
2048,1.0,10000
2048,1.0,10000
2048,1.0,10000
2048,1.0,10000
2048,1.0,10000
2048,1.0,10000
2048,1.0,10000
2048,0.5,20000
2048,0.5,20000
2048,0.5,20000
2048,0.5,20000
2048,0.5,20000
2048,0.5,20000
2048,0.5,20000
2048,0.5,20000
2048,0.5,20000
2048,0.5,20000
2048,0.3333333333333333,30000
2048,0.3333333333333333,30000
2048,0.3333333333333333,30000
2048,0.3333333333333333,30000
2048,0.3333333333333333,30000
2048,0.3333333333333333,30000
2048,0.3333333333333333,30000
2048,0.3333333333333333,30000
2048,0.3333333333333333,30000
2048,0.3333333333333333,30000
2048,0.25,40000
2048,0.25,40000
2048,0.25,40000
2048,0.25,40000
2048,0.25,40000
2048,0.25,40000
2048,0.25,40000
2048,0.25,40000
2048,0.25,40000
2048,0.25,40000
