c-native,6.316676
c-drio,5.596499
c-c-empty,5.587556,0
c-c-empty,5.593463,0
c-c-dm,5.655748,0
c-c-dm,5.718586,0
c-c-dm-stats,881,0,39119,0,881,39119,0,5.77
c-c-dm-errs-good,5.698146,0
c-c-dm-errs-bad,5.72175,0
c-c-dm-errs-stats,0,0,40000,0,0,40000,10,5.77
c-native,6.317293
c-drio,5.587185
c-c-empty,5.604228,0
c-c-empty,5.588092,0
c-c-dm,5.655482,0
c-c-dm,5.663921,0
c-c-dm-stats,0,0,40000,0,0,40000,0,5.71
c-c-dm-errs-good,5.66942,0
c-c-dm-errs-bad,5.663068,0
c-c-dm-errs-stats,0,250,39750,250,0,39750,10,5.72
c-native,6.310864
c-drio,5.595746
c-c-empty,5.589282,0
c-c-empty,5.595661,0
c-c-dm,5.661495,0
c-c-dm,5.661614,0
c-c-dm-stats,250,0,39750,0,250,39750,0,5.71
c-c-dm-errs-good,5.662584,0
c-c-dm-errs-bad,5.680482,0
c-c-dm-errs-stats,122,0,39878,0,122,39878,10,5.73
c-native,6.314819
c-drio,5.611445
c-c-empty,5.592199,0
c-c-empty,5.652831,0
c-c-dm,5.673669,0
c-c-dm,5.6572,0
c-c-dm-stats,0,1259,38741,1259,0,38741,0,5.74
c-c-dm-errs-good,5.659616,0
c-c-dm-errs-bad,5.674721,0
c-c-dm-errs-stats,3488,0,36512,0,3488,36512,9,5.74
c-native,6.312709
c-drio,5.600035
c-c-empty,5.611467,0
c-c-empty,5.591922,0
c-c-dm,5.677691,0
c-c-dm,5.707348,0
c-c-dm-stats,0,0,40000,0,0,40000,0,5.77
c-c-dm-errs-good,5.682469,0
c-c-dm-errs-bad,5.654437,0
c-c-dm-errs-stats,0,3188,36812,3188,0,36812,8,5.75
c-native,6.312337
c-drio,5.595261
c-c-empty,5.596267,0
c-c-empty,5.589232,0
c-c-dm,5.685872,0
c-c-dm,5.657029,0
c-c-dm-stats,0,4156,35844,4156,0,35844,0,5.75
c-c-dm-errs-good,5.664769,0
c-c-dm-errs-bad,5.657957,0
c-c-dm-errs-stats,0,0,40000,0,0,40000,10,5.71
c-native,6.312769
c-drio,5.591802
c-c-empty,5.58935,0
c-c-empty,5.597011,0
c-c-dm,5.694389,0
c-c-dm,5.665967,0
c-c-dm-stats,0,0,40000,0,0,40000,0,5.75
c-c-dm-errs-good,5.717419,0
c-c-dm-errs-bad,5.695021,0
c-c-dm-errs-stats,0,0,40000,0,0,40000,10,5.79
c-native,6.312222
c-drio,5.586723
c-c-empty,5.604723,0
c-c-empty,5.614177,0
c-c-dm,5.725522,0
c-c-dm,5.668135,0
c-c-dm-stats,0,503,39497,503,0,39497,0,5.78
c-c-dm-errs-good,5.702377,0
c-c-dm-errs-bad,5.666515,0
c-c-dm-errs-stats,0,0,40000,0,0,40000,10,5.75
c-native,6.314116
c-drio,5.591529
c-c-empty,5.597671,0
c-c-empty,5.595392,0
c-c-dm,5.738291,0
c-c-dm,5.655501,0
c-c-dm-stats,0,755,39245,755,0,39245,0,5.79
c-c-dm-errs-good,5.655753,0
c-c-dm-errs-bad,5.73778,0
c-c-dm-errs-stats,125,0,39875,0,125,39875,10,5.79
c-native,6.309181
c-drio,5.591589
c-c-empty,5.592513,0
c-c-empty,5.588703,0
c-c-dm,5.662785,0
c-c-dm,5.668007,0
c-c-dm-stats,0,0,40000,0,0,40000,0,5.72
c-c-dm-errs-good,5.666716,0
c-c-dm-errs-bad,5.664862,0
c-c-dm-errs-stats,0,2326,37674,2326,0,37674,10,5.73
