c-native,3.555608
c-drio,3.153964
c-c-empty,3.156841,0
c-c-empty,3.153029,0
c-c-dm,3.222704,0
c-c-dm,3.204554,0
c-c-dm-stats,0,411,29589,411,0,29589,0,3.28
c-c-dm-errs-good,3.228421,0
c-c-dm-errs-bad,3.210068,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.3
c-native,3.553622
c-drio,3.154732
c-c-empty,3.153273,0
c-c-empty,3.156407,0
c-c-dm,3.221762,0
c-c-dm,3.232598,0
c-c-dm-stats,0,0,30000,0,0,30000,0,3.3
c-c-dm-errs-good,3.20315,0
c-c-dm-errs-bad,3.223831,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.27
c-native,3.553101
c-drio,3.155055
c-c-empty,3.153241,0
c-c-empty,3.155739,0
c-c-dm,3.226958,0
c-c-dm,3.205814,0
c-c-dm-stats,0,4242,25758,4242,0,25758,0,3.29
c-c-dm-errs-good,3.213196,0
c-c-dm-errs-bad,3.227914,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.28
c-native,3.557083
c-drio,3.150742
c-c-empty,3.15905,0
c-c-empty,3.220616,0
c-c-dm,3.251774,0
c-c-dm,3.21551,0
c-c-dm-stats,0,250,29750,250,0,29750,0,3.31
c-c-dm-errs-good,3.201444,0
c-c-dm-errs-bad,3.20619,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.26
c-native,3.552902
c-drio,3.150586
c-c-empty,3.152272,0
c-c-empty,3.156797,0
c-c-dm,3.263024,0
c-c-dm,3.209249,0
c-c-dm-stats,0,1347,28653,1347,0,28653,0,3.32
c-c-dm-errs-good,3.278406,0
c-c-dm-errs-bad,3.218509,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.32
c-native,3.552544
c-drio,3.151589
c-c-empty,3.190708,0
c-c-empty,3.161439,0
c-c-dm,3.203211,0
c-c-dm,3.214022,0
c-c-dm-stats,0,0,30000,0,0,30000,0,3.27
c-c-dm-errs-good,3.204213,0
c-c-dm-errs-bad,3.200931,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.25
c-native,3.555766
c-drio,3.153737
c-c-empty,3.156185,0
c-c-empty,3.151145,0
c-c-dm,3.200531,0
c-c-dm,3.199508,0
c-c-dm-stats,0,0,30000,0,0,30000,0,3.26
c-c-dm-errs-good,3.20451,0
c-c-dm-errs-bad,3.202399,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.26
c-native,3.554713
c-drio,3.155077
c-c-empty,3.153669,0
c-c-empty,3.156223,0
c-c-dm,3.200672,0
c-c-dm,3.200214,0
c-c-dm-stats,0,0,30000,0,0,30000,0,3.25
c-c-dm-errs-good,3.199637,0
c-c-dm-errs-bad,3.233689,0
c-c-dm-errs-stats,250,0,29750,0,250,29750,10,3.28
c-native,3.555612
c-drio,3.161685
c-c-empty,3.149202,0
c-c-empty,3.156233,0
c-c-dm,3.229444,0
c-c-dm,3.208417,0
c-c-dm-stats,0,0,30000,0,0,30000,0,3.28
c-c-dm-errs-good,3.224604,0
c-c-dm-errs-bad,3.20215,0
c-c-dm-errs-stats,0,3706,26294,3706,0,26294,9,3.29
c-native,3.556152
c-drio,3.153872
c-c-empty,3.15664,0
c-c-empty,3.168947,0
c-c-dm,3.21903,0
c-c-dm,3.223753,0
c-c-dm-stats,0,0,30000,0,0,30000,0,3.29
c-c-dm-errs-good,3.212032,0
c-c-dm-errs-bad,3.22026,0
c-c-dm-errs-stats,0,0,30000,0,0,30000,10,3.27
