c-native,0.397658
c-drio,0.358062
c-c-empty,0.364682,0
c-c-empty,0.364882,0
c-c-dm,0.379438,0
c-c-dm,0.394428,0
c-c-dm-stats,8141,0,1859,775,7366,1859,0,0.46
c-c-dm-errs-good,0.374742,0
c-c-dm-errs-bad,0.392061,0
c-c-dm-errs-stats,5722,0,4278,1255,4467,4278,3,0.44
c-native,0.397502
c-drio,0.357954
c-c-empty,0.360178,0
c-c-empty,0.368716,0
c-c-dm,0.383676,0
c-c-dm,0.383605,0
c-c-dm-stats,421,3704,5875,4125,0,5875,0,0.45
c-c-dm-errs-good,0.38423,0
c-c-dm-errs-bad,0.373467,0
c-c-dm-errs-stats,1120,4642,4238,5762,0,4238,3,0.44
c-native,0.399537
c-drio,0.358139
c-c-empty,0.358388,0
c-c-empty,0.364603,0
c-c-dm,0.373841,0
c-c-dm,0.383607,0
c-c-dm-stats,5738,0,4262,1160,4578,4262,0,0.43
c-c-dm-errs-good,0.378037,0
c-c-dm-errs-bad,0.384632,0
c-c-dm-errs-stats,5101,6,4893,1046,4061,4893,4,0.44
c-native,0.397525
c-drio,0.369036
c-c-empty,0.357956,0
c-c-empty,0.369712,0
c-c-dm,0.393164,0
c-c-dm,0.396695,0
c-c-dm-stats,3383,2064,4553,3376,2071,4553,0,0.46
c-c-dm-errs-good,0.373575,0
c-c-dm-errs-bad,0.374338,0
c-c-dm-errs-stats,2540,814,6646,1565,1789,6646,8,0.43
c-native,0.398506
c-drio,0.357748
c-c-empty,0.363833,0
c-c-empty,0.361241,0
c-c-dm,0.385554,0
c-c-dm,0.387914,0
c-c-dm-stats,4293,0,5707,889,3404,5707,0,0.45
c-c-dm-errs-good,0.379973,0
c-c-dm-errs-bad,0.377185,0
c-c-dm-errs-stats,3733,1555,4712,2671,2617,4712,4,0.43
c-native,0.397561
c-drio,0.361391
c-c-empty,0.367449,0
c-c-empty,0.358687,0
c-c-dm,0.37319,0
c-c-dm,0.373197,0
c-c-dm-stats,4880,0,5120,475,4405,5120,0,0.42
c-c-dm-errs-good,0.385062,0
c-c-dm-errs-bad,0.373037,0
c-c-dm-errs-stats,1148,4714,4138,5862,0,4138,3,0.44
c-native,0.397422
c-drio,0.357845
c-c-empty,0.361065,0
c-c-empty,0.358328,0
c-c-dm,0.373553,0
c-c-dm,0.377129,0
c-c-dm-stats,5622,0,4378,1294,4328,4378,0,0.43
c-c-dm-errs-good,0.380472,0
c-c-dm-errs-bad,0.373582,0
c-c-dm-errs-stats,1378,4344,4278,5722,0,4278,3,0.44
c-native,0.397621
c-drio,0.368652
c-c-empty,0.358105,0
c-c-empty,0.361327,0
c-c-dm,0.381845,0
c-c-dm,0.375736,0
c-c-dm-stats,3445,1998,4557,3127,2316,4557,0,0.43
c-c-dm-errs-good,0.373339,0
c-c-dm-errs-bad,0.375071,0
c-c-dm-errs-stats,4684,0,5316,1010,3674,5316,5,0.42
c-native,0.399689
c-drio,0.358255
c-c-empty,0.365277,0
c-c-empty,0.368939,0
c-c-dm,0.383839,0
c-c-dm,0.375129,0
c-c-dm-stats,1398,4330,4272,5722,6,4272,0,0.44
c-c-dm-errs-good,0.373482,0
c-c-dm-errs-bad,0.382234,0
c-c-dm-errs-stats,5722,0,4278,1162,4560,4278,3,0.43
c-native,0.397696
c-drio,0.368571
c-c-empty,0.361803,0
c-c-empty,0.358334,0
c-c-dm,0.380261,0
c-c-dm,0.374383,0
c-c-dm-stats,3005,2360,4635,3673,1692,4635,0,0.43
c-c-dm-errs-good,0.373201,0
c-c-dm-errs-bad,0.377631,0
c-c-dm-errs-stats,5860,0,4140,1143,4717,4140,3,0.43
